dataset,workload,num_traces,discard_stlb_demand_mpki_mean,permit_stlb_demand_mpki_mean,permit_vs_discard_ipc_pct_geomean,cross_requested_mpki_mean,pq_drop_rate_pct_weighted,reach_stlb_pct_of_requested_weighted,trigger_translation_pct_of_requested_weighted,useful_pct_of_requested_weighted,fill_productivity_pct_weighted,useful_vs_discard_miss_pct_weighted,demand_miss_reduction_pct_weighted,too_early_among_useless_pct_weighted,pollution_per_fill_pct_weighted
ligra,ligra_Components,1.0,3.15962,3.0712,0.6884299355985002,101.34908,91.95394768260353,0.6887877028582795,0.18008056905893965,0.07509688297121198,41.701824557558496,2.4088339737056987,2.798437786822466,17.68796992481203,87.53492959289902
ligra,ligra_Components-Shortcut,1.0,1.22022,1.10775,0.7107473616196458,93.57179719284609,91.96132809243811,0.4775370357308505,0.17004054640393793,0.06610966124409277,38.878763119854185,5.069577617151006,9.217190342725083,7.5886889460154245,58.85236628747408
ligra,ligra_PageRank,3.0,22.173366666666666,21.96418,1.6784560907532553,108.54407150886054,86.6674894763178,0.9165739188830884,0.4863554349750771,0.11390764709954071,23.42065882442083,0.5576057289132973,0.9434438783333523,46.547274511258976,74.97111250023679
ligra,ligra_PageRankDelta,3.0,3.5275366666666663,3.298776666666667,2.2786759201602447,175.04503829776158,93.8307859921693,0.14394390259131967,0.13249922929361058,0.002608852315783939,1.9689282993920754,0.12945766687046012,6.484978658383896,0.7535551971851634,25.391989192451963
ligra,ligra_Radii,3.0,8.486086666666667,8.296506666666668,0.7302895783804386,148.29057277644947,85.25940017045812,0.21503277394211529,0.14784037070281744,0.04638415766234815,31.37448684810704,0.8105421146055879,2.234087390855702,16.84723606956907,78.86878516040748
parsec,parsec_canneal,6.0,6.566386666666667,6.561751666666666,0.0069451718414104135,0.715509985569517,28.324318784270424,2.3142001276478785,1.2133536451854854,0.67457710816993,55.59608370128623,0.07350567232308383,0.0705106207574333,65.93169044530912,94.64388558264542
qmm,qmm_fp,3.0,1.9415000000000002,1.2118733333333334,4.373059169128113,148.66757492178962,89.10757339983098,0.8894272911737559,0.532454139910758,0.20905925844893372,39.263336084488536,16.008412739290925,37.580564855352385,11.705896627032274,23.528272330677627
qmm,qmm_int,8.0,6.58298,6.0517425,4.762916665458294,1304.9118141531037,98.71029439651421,0.08205036991579163,0.04725529927557942,0.006029909223370145,12.760281525687597,1.195279795502871,8.069866561141975,8.592958518835218,16.128737999481057
qmm,qmm_srv,19.0,1.8731342105263156,1.872968947368421,0.06653744651292648,2.030568867738124,18.589112048191833,19.574161351200246,0.02915957441017957,0.0027474798999813635,9.422222222222222,0.002978402368110864,0.008822814562139729,31.79587831207066,97.86666666666667
spec06,403.gcc,1.0,2.87791,2.62808,0.6409322651128813,105.74929894250701,94.84580000000001,0.49699619761076436,0.2994346061865185,0.04283716298831292,14.306016106110848,1.5740589525037267,8.680952496777175,14.015109637000183,42.91804831833254
spec06,429.mcf,4.0,6.39168,6.335884999999999,1.788933584261776,21.342404512680417,58.993045959862535,2.442555091612215,0.2903140484870379,0.05804172491338254,19.992737249838605,0.19380693934449056,0.8729330519253966,2.925008825457663,18.213363460296968
spec06,433.milc,3.0,1.7838966666666665,0.0014166666666666668,49.83029255226394,290.062277491688,85.61953378059206,0.6215423733420011,0.6153080800979698,0.00014134895281398474,0.02297201896032004,0.022983394030670685,99.92058583363385,0.010274420429283965,0.010645569762099532
spec06,436.cactusADM,1.0,9.01691,9.05663,0.6389776357827559,2.706999945860001,81.32430000000001,5.270410048023642,2.7809383080901364,0.555596601403768,19.978746014877792,0.1667977167344467,-0.44050567212049363,8.383134130146082,81.04410201912859
spec06,450.soplex,1.0,1.05987,0.76724,2.614268848035084,196.12407,92.7635,0.3223367738595268,0.17995751362900025,0.034748412063853255,19.309231030770103,6.430033872078651,27.60998990442224,15.028617577864392,23.513911713039043
spec06,459.GemsFDTD,3.0,1.7061266666666668,0.4176500000000001,13.758938287652978,210.11195057214078,78.3166951869992,2.9345910924376093,0.6169552213005935,0.09283939517577186,15.047840922824529,11.433305069182046,75.52057486939226,0.12137942724650315,6.835299169694492
spec06,471.omnetpp,1.0,4.52055,3.74312,6.417764763299161,14.01567,4.0110100000000015,17.99435917084235,10.913998403215828,2.680000313934332,24.555623108252107,8.309165920076097,17.19768612226388,16.373640656817294,27.949165506285667
spec06,473.astar,2.0,11.31784,9.40266,9.308973214977012,308.5374905389396,80.18755678309536,4.003130964682267,1.210975994992116,0.09345865726951598,7.717630874270505,2.5477873025465945,16.922015292643664,11.812347010986207,19.88095222164084
spec06,483.xalancbmk,1.0,3.46828,3.44079,0.0,1.65219,80.85750000000002,2.423450087459675,2.267898970457393,0.0526573820202277,2.321857485988791,0.025084479915116427,0.79261189984661,33.852459016393446,89.69842540699227
spec17,602.gcc_s,1.0,1.31377,0.21005,54.50554045578089,154.93652,41.180499999999995,0.7876580679622854,0.7721420359770569,0.003459481341132484,0.44803691289192776,0.4079861771847431,84.01166109745238,0.00671721369975734,0.1136810077486981
spec17,605.mcf_s,5.0,11.423178,10.932205999999997,3.8145750009369372,132.2905088038827,77.41010412467078,0.6662518724888127,0.3773483071461437,0.02182318293277424,5.783276375305991,0.25273168194291223,4.297926794828271,1.4309223814970893,13.518483647771024
spec17,620.omnetpp_s,2.0,4.568395,4.509494999999999,-0.1214128667528902,0.5552099965849,0.026116221610743118,44.13104951279696,32.9505952702581,9.831415140217214,29.83683620760338,1.1948397631991106,1.289293066821061,46.354004362729825,65.55795457651207
spec17,623.xalancbmk_s,3.0,2.61807,2.608916666666667,-0.031015263229849932,49.33818325487027,84.40766286025259,0.9753838389536704,0.09806468350577696,0.040131189805326574,40.923182914226665,0.7562822995565436,0.34962141322933815,8.746355685131196,75.14295556321046
spec17,649.fotonik3d_s,1.0,3.39599,0.01262,37.49557417679688,342.90522285473884,89.2217,1.2787964395061446,0.9864241211362066,0.12517160717637327,12.68939337947264,12.639024260966611,99.62838524259494,0.010496803554014519,0.20901638132629322
xsbench,xsbench_XL100hash,2.0,4.622845,4.59544,0.4230777238775518,86.22348156478563,83.4417966288419,0.08730799967085534,0.03290866751674442,0.015465624011833897,46.99559471365639,0.2884587305003737,0.5928167611070673,24.23537234042553,38.69603524229075
xsbench,xsbench_XL100nuclide,4.0,36.657625,36.648424999999996,-0.01611214102074099,3.0396324847824,21.455472001960764,1.6481433199572646,0.625486798157343,0.046304939824139926,7.4030243261012485,0.0038395818606695533,0.0251107289715547,21.79778472024993,81.2491781722551
xsbench,xsbench_XL100unionized,1.0,1.02857,0.9802,0.8006248779535152,168.30315495090534,86.0771301026077,0.06343315241377524,0.028781396617865048,0.015157172331167163,52.66308835672997,2.480142333531019,4.702645420340862,9.986916703009157,40.21469859620149
xsbench,xsbench_XL64hash,2.0,5.496765,5.46795,0.2423071155905676,74.59893203677241,86.18175983343463,0.0978767324225205,0.039819603322755213,0.01682999898054845,42.265611849856924,0.22840707215971576,0.5242174260678781,26.705539358600582,49.78959771082309
xsbench,xsbench_XL64nuclide,1.0,36.7,36.6907,0.0645161290322438,3.080039938399201,21.736730691809196,1.5538759236893027,0.6159010921936079,0.04220724406176543,6.852925672113865,0.0035422314368680355,0.02553131427957961,21.561969439728355,81.91881918819189
xsbench,xsbench_XL64unionized,1.0,1.02862,0.97995,0.7027132539527692,163.6889,85.91828767863917,0.06693184449281533,0.030105889892350676,0.015651641620170947,51.98863636363637,2.4907157162022906,4.731582119733234,7.6923076923076925,38.798701298701296
xsbench,xsbench_XXL100hash,3.0,6.662673333333333,6.638233333333333,0.2256575656776283,56.796283308527734,84.53254423631593,0.11456735578648486,0.044768187589739585,0.016573854451156868,37.02149973780808,0.14128462949306633,0.36681972501528415,26.20732722731057,33.42947037231253
xsbench,xsbench_XXL100nuclide,7.0,33.21850714285714,33.203359999999996,0.09910588870107873,26.516000197176275,80.36787597957697,0.20576793495205403,0.08706871931401422,0.018818825355104984,21.61376152465813,0.015021738946260061,0.04561998475291347,19.42690243132302,63.41191757935771
xsbench,xsbench_XXL100unionized,1.0,8.57659,8.52869,0.3891050583657574,151.09933244503338,90.07916910821714,0.05336224499723162,0.031747325964494616,0.014493776081351514,45.6535334584115,0.2553462390064116,0.558497025041421,33.14154200230149,55.72232645403376
xsbench,xsbench_XXL64hash,2.0,8.96307,8.935765,-0.005742728350732751,72.00714999378386,89.50029267926865,0.08401943418118896,0.03883642110540411,0.015831761151496763,40.76524226711961,0.1271885637398793,0.3046389239401232,40.95985511620888,50.72411943500804
xsbench,xsbench_XXL64nuclide,3.0,28.520506666666666,28.498783333333336,0.07663440772847085,50.42630181879867,88.41120021290476,0.1242539359914743,0.05454825130614704,0.01819156417771651,33.349491032476976,0.032163972680725704,0.07617906029541066,27.61818181818182,63.81483276781387
xsbench,xsbench_XXL64unionized,1.0,8.57764,8.52992,0.23959269242288528,141.57531,90.53927552763261,0.05664829552554044,0.03382651960995176,0.015610066472748672,46.14742117352266,0.257646625412118,0.5563301793966638,34.27685149282668,55.96157861766549
