dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,stlb_demand_mpki,stlb_demand_miss_rate,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share
spec17,605.mcf_s,5,0.33120932387132807,11.339014000000001,0.50458243999999997,11.339014000000001,0.50458243999999997,0.45124307799999996,0,0.053339261999999998,0,0,0.64977124939511444,0,0.35022875060488562,0,0
spec17,620.omnetpp_s,2,0.49050686110593805,4.7399050000000003,0.21664450000000002,4.7399050000000003,0.21664450000000002,0.20633499999999999,0.00086494349999999992,0.0094445600000000011,0,0,0.95221613342179379,0.0040030246232560475,0.043780841954950231,0,0
spec17,623.xalancbmk_s,3,0.93876565483250374,2.8874066666666667,0.26838460000000003,2.8874066666666667,0.26838460000000003,0.25299270000000001,0.0027159883333333335,0.012675933333333333,0,0,0.83949412464440198,0.0096548186959248047,0.15085105665967319,0,0
spec17,649.fotonik3d_s,1,1.1669099999999999,4.4927299999999999,0.65507400000000005,4.4927299999999999,0.65507400000000005,0.055714600000000003,0,0.59936,0,0,0.085050737524845696,0,0.91494926247515429,0,0
gap,bc,11,0.31450066483037997,18.518820000000002,0.8019701818181818,18.518820000000002,0.8019701818181818,0.79610499999999995,0,0.0058651467272727272,0,0,0.99282002163271244,0,0.0071799783672875008,0,0
gap,bfs,18,0.23161248868099346,9.7051650000000009,0.4233521388888889,9.7051650000000009,0.4233521388888889,0.39540035000000001,0.00018600249444444445,0.027765644444444446,0,0,0.90697304716514382,0.00041463552287051501,0.092612317311985756,0,0
gap,cc,18,0.38016372490358302,12.717830555555556,0.76657977777777786,12.717830555555556,0.76657977777777786,0.61265744444444448,5.6426666666666668e-06,0.15391667833333333,0,0,0.80871590335899946,7.6581875214429251e-06,0.19127643845347908,0,0
gap,pr,8,0.029562305943120884,146.7221625,0.90551162500000004,146.7221625,0.90551162500000004,0.90284874999999998,0,0.0026630487499999999,0,0,0.99698263305066614,0,0.003017366949333885,0,0
gap,sssp,10,0.21380662522635377,53.295749999999998,0.82625050000000011,53.295749999999998,0.82625050000000011,0.81672610000000001,5.5887595800000009e-05,0.0094683879999999995,0,0,0.98674689234116941,0.00024370472101019515,0.013009402937820413,0,0
gap,tc,6,0.15688966534578783,14.508428333333335,0.97912433333333337,14.508428333333335,0.97912433333333337,0.9598795,3.79405e-07,0.019244404999999999,0,0,0.98002608189174856,3.9541977367753837e-07,0.019973522688477786,0,0
ligra,ligra_BC,1,0.55981000000000003,1.1338200000000001,0.211147,1.1338200000000001,0.211147,0.13117999999999999,3.7245300000000001e-06,0.079963699999999999,0,0,0.62127145402268436,1.7639484221481364e-05,0.37871090649309413,0,0
ligra,ligra_BFS,1,0.62368299999999999,1.07605,0.21534300000000001,1.07605,0.21534300000000001,0.155886,0.000116072,0.059340700000000003,0,0,0.72389758840202589,0.00053900841038985177,0.27556340318758421,0,0
ligra,ligra_BellmanFord,1,0.40222200000000002,6.0216399999999997,0.37281700000000001,6.0216399999999997,0.37281700000000001,0.35650500000000002,0,0.016312199999999999,0,0,0.95624613892560828,0,0.043753861074391692,0,0
ligra,ligra_CF,1,1.0755399999999999,1.8125899999999999,0.51657699999999995,1.8125899999999999,0.51657699999999995,0.48522999999999999,0,0.031346499999999999,0,0,0.93931887520067969,0,0.060681124799320307,0,0
ligra,ligra_Components,1,0.453293,4.1322200000000002,0.059754399999999999,4.1322200000000002,0.059754399999999999,0.043187999999999997,0,0.016566399999999998,0,0,0.72275919481537765,0,0.2772408051846223,0,0
ligra,ligra_Components-Shortcut,1,0.46697699999999998,1.2990299999999999,0.0178462,1.2990299999999999,0.0178462,0.0146488,0,0.0031974,0,0,0.82083554652317503,0,0.17916445347682503,0,0
ligra,ligra_PageRank,3,0.63665692376792771,22.574280000000002,0.5649156666666667,22.574280000000002,0.5649156666666667,0.53391566666666668,5.4456666666666668e-06,0.030994656666666665,0,0,0.95194283661447032,7.3202958863597261e-06,0.048049843089643308,0,0
ligra,ligra_PageRankDelta,3,0.65990288882329373,3.4959900000000004,0.40309466666666666,3.4959900000000004,0.40309466666666666,0.35277366666666671,9.4585466666666664e-06,0.050312006666666659,0,0,0.86677948447645292,2.590952836479277e-05,0.13319460599518226,0,0
ligra,ligra_Radii,3,0.2765424166317641,8.6112099999999998,0.3317662666666667,8.6112099999999998,0.3317662666666667,0.32156736666666669,8.4556000000000006e-07,0.010197960000000001,0,0,0.89342929144082817,5.5504830307857545e-06,0.10656515807614099,0,0
qmm,qmm_fp,3,0.64226729268257787,2.1559966666666668,0.23361799999999999,2.1559966666666668,0.23361799999999999,0.13274993333333332,0.00021979213333333332,0.10064813333333333,0,0,0.60085735194134382,0.0011588778832692329,0.39798377017538694,0,0
qmm,qmm_int,8,0.47827910126732448,6.86416,0.63514762499999999,6.86416,0.63514762499999999,0.4925579625,0.00050356825749999997,0.1420862695,0,0,0.74899318317582253,0.00085421732445125048,0.25015259949972618,0,0
