dataset,workload,nopref_ipc,pref_ipc,ipc_speedup,ipc_speedup_pct,nopref_stlb_mpki,pref_stlb_mpki,stlb_mpki_norm,stlb_mpki_change_pct,nopref_stlb_miss_rate,pref_stlb_miss_rate,stlb_miss_rate_norm,stlb_miss_rate_change_pct,nopref_dram_rq_read_pki,pref_dram_rq_read_pki,dram_rq_read_pki_norm,dram_rq_read_pki_change_pct
gap,gap.bc.twitter-10B,0.156026,0.15440899999999999,0.98963634266083855,-1.0363657339161447,35.619280000000003,35.756597139472227,1.0038551351816269,0.38551351816269452,0.96829780027217272,0.96703440546610298,0.99869524147869115,-0.13047585213088464,84.229159999999993,219.74344242052462,2.6088760996847724,160.88760996847725
gap,gap.cc.twitter-10B,0.32799200000000001,0.53303400000000001,1.6251432961779555,62.514329617795553,2.5477198980912039,2.5707798971688041,1.0090512301194794,0.9051230119479392,0.71989420800108506,0.71540122666607298,0.99375883111007701,-0.62411688899229878,8.6231596550736143,8.7987596480496144,1.0203637645596277,2.0363764559627739
gap,gap.pr.twitter-10B,0.032227400000000003,0.030753600000000002,0.95426872785269679,-4.5731272147303219,121.26506000000001,122.23721022102318,1.0080167380531802,0.80167380531801502,0.79972346523933258,0.80051502892437121,1.0009897967478067,0.09897967478067482,133.31263999999999,273.68331810533454,2.0529435026216163,105.29435026216163
ligra,ligra_BellmanFord,0.379052,0.48539900000000002,1.2805604508088602,28.056045080886015,6.6988200000000004,6.7915395925076245,1.0138411828512521,1.3841182851252132,0.3399032475104044,0.33803791338037914,0.99451216149393173,-0.54878385060682655,27.6678,48.761597074304177,1.7623951696305518,76.239516963055181
ligra,ligra_CF,1.05677,1.22645,1.1605647397257681,16.056473972576811,1.3294998670500133,1.3519600000000001,1.0168936707002634,1.6893670700263375,0.46491215800369273,0.45868334984461301,0.98660218268796007,-1.3397817312039928,8.4950791504920851,11.43216,1.345739079939918,34.573907993991803
ligra,ligra_Components,0.402225,0.443102,1.1016271987071913,10.162719870719128,1.116079933035204,1.1160798883920111,0.99999996000000391,-3.999999609316518e-06,1,1,1,0,71.57043570577386,71.57043284295672,0.99999996000000402,-3.9999995982142877e-06
ligra,ligra_PageRank,0.46197730603716008,0.49067280525560747,1.0621145213053804,6.2114521305380421,28.494798100346792,28.710491610703837,1.0075695749658398,0.75695749658397649,0.47984836045467166,0.47402359037228564,0.98786122749931482,-1.213877250068518,49.973090001793999,91.646967834515266,1.8339263757999595,83.392637579995949
ligra,ligra_PageRankDelta,0.49270851890747736,0.60750169944453658,1.2329839573133412,23.298395731334121,5.4838398903232024,5.5501696669898202,1.0120954984086359,1.2095498408635885,0.45659627684995996,0.45568047842521653,0.9979942928333505,-0.20057071666494952,16.820489663590205,27.998458320092499,1.6645447831818019,66.454478318180193
ligra,ligra_Radii,0.21891996798373603,0.28205929814845671,1.28841284212782,28.841284212782003,10.890269999999999,10.992100000000001,1.009350548700813,0.93505487008129773,0.36350858196114194,0.35892958193508695,0.98740332346116533,-1.2596676538834672,34.721730000000001,54.235190000000003,1.5619956148498362,56.199561484983619
spec06,gmean_spec06,0.4773208283626233,0.62541145053010128,1.3102538447263665,31.025384472636652,4.1986309338355827,4.2927342679653693,1.022412861623877,2.2412861623877012,0.14319407262162456,0.14346379802024273,1.0018836352209277,0.18836352209277152,22.790199037747151,36.547336275276173,1.6036426981064638,60.364269810646377
spec17,gmean_spec17,0.37044141683305243,0.48655434111194606,1.313444768869412,31.344476886941198,6.6444031450752439,6.7399331760682255,1.0143775187789121,1.4377518778912135,0.29536678521172338,0.29200033908188811,0.98860248918163851,-1.1397510818361489,30.562597467393072,47.562840556867052,1.5562433987363595,55.624339873635954
gap,gmean_gap,0.11814857785131215,0.13628283557292467,1.1534868895708095,15.348688957080947,53.144019291413073,53.52152976523135,1.0071035363687533,0.71035363687532715,0.83055604495603264,0.8307906534796744,1.0002824716345953,0.028247163459527158,75.388318994822413,167.40850883943276,2.2206160194516364,122.06160194516364
ligra,gmean_ligra,0.42332714235485275,0.49675291434614677,1.1734492420751634,17.344924207516343,12.73770149049194,12.847559409012268,1.0086246265546677,0.86246265546676693,0.44573168508365207,0.4407897955588907,0.98891286015748714,-1.1087139842512861,36.073702557051895,57.117239372606988,1.5833484040700829,58.334840407008294
