dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,llc_access,llc_hit,llc_miss,llc_mpki,llc_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,447.dealII,447.dealII-3B,447.dealII-3B.champsimtrace.xz,50000000,27299887,1.83151,4374,4345,29,0.00058,0.0066300899999999999,1497,109,1388,0.02776,0.92718800000000001,25,0.0057155900000000004,4,0.00091449499999999998,0,0,0,0,0,0
spec06,450.soplex,450.soplex-247B,450.soplex-247B.champsimtrace.xz,50000003,130334477,0.38362800000000002,253747,210751,42996,0.85992000000000002,0.16944400000000001,2798977,1109625,1689352,33.786999999999999,0.60356100000000001,42996,0.16944400000000001,0,0,0,0,0,0,0,0
spec06,450.soplex,450.soplex-92B,450.soplex-92B.champsimtrace.xz,50000000,113557767,0.440305,251377,197481,53896,1.07792,0.21440300000000001,2029456,920547,1108909,22.1782,0.54640699999999998,53887,0.214367,9,3.5802800000000002e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-252B,453.povray-252B.champsimtrace.xz,50000003,26594255,1.8801099999999999,122826,122823,3,6.0000000000000002e-05,2.44248e-05,92,0,92,0.0018400000000000001,1,2,1.62832e-05,1,8.1416000000000001e-06,0,0,0,0,0,0
spec06,453.povray,453.povray-576B,453.povray-576B.champsimtrace.xz,50000000,28540241,1.7519100000000001,124324,124301,23,0.00046000000000000001,0.000185,1097,260,837,0.016740000000000001,0.76298999999999995,21,0.000168913,2,1.6087e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-800B,453.povray-800B.champsimtrace.xz,50000002,27605413,1.81124,120356,120346,10,0.00020000000000000001,8.3086799999999999e-05,619,3,616,0.012319999999999999,0.99515299999999995,7,5.8160800000000001e-05,3,2.4926099999999998e-05,0,0,0,0,0,0
spec06,453.povray,453.povray-887B,453.povray-887B.champsimtrace.xz,50000000,25491965,1.9614,159641,159640,1,2.0000000000000002e-05,6.2640499999999998e-06,82,0,82,0.00164,1,1,6.2640499999999998e-06,0,0,0,0,0,0,0,0
spec06,454.calculix,454.calculix-104B,454.calculix-104B.champsimtrace.xz,50000000,16223457,3.08196,54,9,45,0.00089999999999999998,0.83333299999999999,1088,0,1088,0.021760000000000002,1,40,0.74074099999999998,5,0.092592599999999997,0,0,0,0,0,0
spec06,454.calculix,454.calculix-460B,454.calculix-460B.champsimtrace.xz,50000003,14873969,3.36158,7663,6837,826,0.01652,0.107791,299119,246681,52438,1.0487599999999999,0.17530799999999999,812,0.105964,14,0.0018269600000000001,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-191B,456.hmmer-191B.champsimtrace.xz,50000005,15856488,3.1532800000000001,3757,3357,400,0.0080000000000000002,0.10646799999999999,266508,185435,81073,1.6214599999999999,0.304205,367,0.097684300000000002,33,0.0087836000000000008,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-327B,456.hmmer-327B.champsimtrace.xz,50000001,15712096,3.1822599999999999,3282,3119,163,0.0032599999999999999,0.049664800000000002,272162,235762,36400,0.72799999999999998,0.133744,161,0.049055500000000002,2,0.00060938500000000005,0,0,0,0,0,0
spec06,456.hmmer,456.hmmer-88B,456.hmmer-88B.champsimtrace.xz,50000001,15775237,3.1695199999999999,3083,2668,415,0.0083000000000000001,0.13460900000000001,271351,126493,144858,2.89716,0.53383999999999998,413,0.13396,2,0.00064871899999999997,0,0,0,0,0,0
