dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec17,620.omnetpp_s,2,0.47320162826642936,4.5982398160704072,0.21395790767718889,1068540,10.685399572584018,1068540,459824,0.21305847520837473,0.00089943246881416829,0,0,0,0.99579621768328752,0.0042037823167124814,0,0,0,1015354,0.9502255413929287,0,0,53186,0.049774458607071331,0,0,1013284,0.94828831864038787,2070,0.0019372227525408501,0,0,0,0,53036,0.049634080146742282,150,0.0001403784603290471,0,0,0,0,0,0,53204,0.11570513935766728,406620,0.88429486064233276
spec17,623.xalancbmk_s,3,0.90181851624239784,2.7387732602993795,0.13533178219547171,846365,5.6424331828684489,846365,410816,0.13365304825602406,0.0016787339394476451,0,0,0,0.98759541984732824,0.012404580152671756,0,0,0,813732,0.96144334890974936,0,0,32633,0.038556651090250658,0,0,809850,0.95685667531147911,3882,0.0045866735982702496,0,0,0,0,32372,0.038248273499022288,261,0.00030837759122837076,0,0,0,0,0,0,32638,0.079446759619878488,378178,0.92055324038012154
spec17,649.fotonik3d_s,1,0.73454600000000003,3.3954,0.73305007901759112,879608,17.59216,879608,169770,0.73305007901759112,0,0,0,0,1,0,0,0,0,860712,0.97851770334057897,0,0,18896,0.021482296659421016,0,0,860712,0.97851770334057897,0,0,0,0,0,0,18896,0.021482296659421016,0,0,0,0,0,0,0,0,18803,0.1107557283383401,150967,0.88924427166165987
gap,gap.bc.twitter-10B,1,0.156026,35.619280000000003,0.96829780027217272,4211458,84.229159999999993,4211458,1780964,0.96829780027217272,0,0,0,0,1,0,0,0,0,3824584,0.90813775181896628,0,0,386874,0.091862248181033737,0,0,3824584,0.90813775181896628,0,0,0,0,0,0,386874,0.091862248181033737,0,0,0,0,0,0,0,0,388106,0.21791905956549373,1392858,0.78208094043450627
gap,gap.cc.twitter-10B,1,0.32799200000000001,2.5477198980912039,0.71989420800108506,431158,8.6231596550736143,431158,127386,0.71989420800108506,0,0,0,0,1,0,0,0,0,417304,0.96786792776661923,0,0,13854,0.032132072233380805,0,0,417304,0.96786792776661923,0,0,0,0,0,0,13854,0.032132072233380805,0,0,0,0,0,0,0,0,13849,0.10871681346458795,113537,0.89128318653541205
gap,gap.pr.twitter-10B,1,0.032227400000000003,121.26506000000001,0.79972346523933258,6665632,133.31263999999999,6665632,6063253,0.79972346523933258,0,0,0,0,1,0,0,0,0,6635826,0.99552840600861259,0,0,29806,0.0044715939913874637,0,0,6635826,0.99552840600861259,0,0,0,0,0,0,29806,0.0044715939913874637,0,0,0,0,0,0,0,0,29800,0.0049148534623245973,6033453,0.99508514653767544
ligra,ligra_BellmanFord,1,0.379052,6.6988200000000004,0.3399032475104044,1383390,27.6678,1383390,334941,0.3399032475104044,0,0,0,0,1,0,0,0,0,1378416,0.99640448463556919,0,0,4974,0.0035955153644308545,0,0,1378414,0.99640303891165904,2,1.4457239101048873e-06,0,0,0,0,4974,0.0035955153644308545,0,0,0,0,0,0,0,0,4942,0.014754837419127548,329999,0.98524516258087247
ligra,ligra_CF,1,1.05677,1.3294998670500133,0.46491215800369273,424754,8.4950791504920851,424754,66475,0.46491215800369273,0,0,0,0,1,0,0,0,0,396289,0.93298473940210103,0,0,28465,0.067015260597899015,0,0,396289,0.93298473940210103,0,0,0,0,0,0,28465,0.067015260597899015,0,0,0,0,0,0,0,0,28546,0.42942459571267394,37929,0.57057540428732612
ligra,ligra_Components,1,0.402225,1.116079933035204,1,3578522,71.57043570577386,3578522,55804,1,0,0,0,0,1,0,0,0,0,3571438,0.99802041177894119,0,0,7084,0.0019795882210588618,0,0,3571438,0.99802041177894119,0,0,0,0,0,0,7084,0.0019795882210588618,0,0,0,0,0,0,0,0,6975,0.12499104006881227,48829,0.87500895993118777
ligra,ligra_PageRank,3,0.46197730603716008,28.494798100346792,0.47984836045467166,7495964,49.973090001793999,7495964,4274220,0.47984824818895755,1.1226571408459828e-07,0,0,0,0.99999976603918372,2.3396081624249572e-07,0,0,0,7459282,0.99510643327529325,0,0,36682,0.0048935667247067887,0,0,7459277,0.99510576624967784,5,6.6702561538449228e-07,0,0,0,0,36680,0.0048932999144606351,2,2.6681024615379692e-07,0,0,0,0,0,0,36745,0.0085968901928305044,4237475,0.9914031098071695
