dataset,workload,num_traces,ipc,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss_rate,demand_instruction_miss_rate,l1d_prefetch_miss_rate,l1i_prefetch_miss_rate,other_miss_rate,demand_data_share,demand_instruction_share,l1d_prefetch_share,l1i_prefetch_share,other_share,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec17,620.omnetpp_s,2,0.46908141236250245,4.6923998592280043,0.21092926830145389,2358886,23.58885929233422,2358886,469240,0.20347635024579347,0.00088643874582402843,0.0065664793098364135,0,0,0.96466626886028473,0.0042025402778961725,0.031131190861819112,0,0,712141,0.30189716671344013,1530853,0.6489728626139627,115016,0.048758608936591258,876,0.00037136173600589432,709698,0.30086150835606301,2443,0.0010356583573771687,0,0,1530853,0.6489728626139627,114772,0.048655170279530251,244,0.00010343865706100253,0,0,876,0.00037136173600589432,0,0,115857,0.24690350353763532,353383,0.75309649646236465
spec17,623.xalancbmk_s,3,0.83131956006415597,2.9286932357102256,0.14045242341368216,3094375,20.6291659790278,3094375,439304,0.12650514198897747,0.0016701952632188089,0.012277086161485885,0,0,0.90069746690219077,0.011891537522990913,0.087410995574818351,0,0,832536,0.26904819228438698,2211582,0.71471040193900226,48406,0.015643223591193699,1851,0.00059818218541708745,807742,0.26103558876994548,24794,0.0080126035144415277,0,0,2211582,0.71471040193900226,47261,0.015273197333871944,1145,0.00037002625732175318,0,0,1851,0.00059818218541708745,0,0,50226,0.11433085061825068,389078,0.88566914938174934
spec17,649.fotonik3d_s,1,0.85524999999999995,3.3957199999999998,0.70973944812998746,1953020,39.060400000000001,1953020,169786,0.49256551418550892,0,0.21717393394447859,0,0,0.69400892888695176,0,0.30599107111304819,0,0,294466,0.15077469764774554,1637304,0.83834471741200811,14728,0.0075411414117622965,6522,0.0033394435284840912,294466,0.15077469764774554,0,0,0,0,1637304,0.83834471741200811,14728,0.0075411414117622965,0,0,0,0,6522,0.0033394435284840912,0,0,21021,0.12380879460026151,148765,0.87619120539973849
gap,gap.bc.twitter-10B,1,0.15440899999999999,35.756597139472227,0.96703440546610298,10987173,219.74344242052462,10987173,1787830,0.90020532503667294,0,0.06682908042943006,0,0,0.9308927582600135,0,0.069107241739986461,0,0,2872220,0.26141574361302949,7580408,0.68993252404417404,519857,0.047314900748354469,14688,0.0013368315944419916,2872220,0.26141574361302949,0,0,0,0,7580408,0.68993252404417404,519857,0.047314900748354469,0,0,0,0,14688,0.0013368315944419916,0,0,535124,0.29931481181096636,1252706,0.70068518818903358
gap,gap.cc.twitter-10B,1,0.53303400000000001,2.5707798971688041,0.71540122666607298,439938,8.7987596480496144,439938,128539,0.70944043100281617,0,0.0059607956632567877,0,0,0.99166789845883352,0,0.008332101541166495,0,0,110781,0.25181048238615439,315456,0.71704649291491074,13680,0.03109529070005319,21,4.7733998881660598e-05,110781,0.25181048238615439,0,0,0,0,315456,0.71704649291491074,13680,0.03109529070005319,0,0,0,0,21,4.7733998881660598e-05,0,0,13696,0.10655131905491719,114843,0.89344868094508278
gap,gap.pr.twitter-10B,1,0.030753600000000002,122.23721022102318,0.80051502892437121,13684167,273.68331810533454,13684167,6111861,0.79189921139879693,0,0.0086158175255742989,0,0,0.98923715706230886,0,0.010762842937691156,0,0,5859644,0.42820611587099161,7754519,0.56667819093409189,68632,0.0050154313375450621,1372,0.00010026185737136941,5859644,0.42820611587099161,0,0,0,0,7754519,0.56667819093409189,68632,0.0050154313375450621,0,0,0,0,1372,0.00010026185737136941,0,0,69998,0.011452812817568986,6041863,0.98854718718243106
ligra,ligra_BellmanFord,1,0.48539900000000002,6.7915395925076245,0.33803791338037914,2438080,48.761597074304177,2438080,339577,0.32748197456978378,0,0.010555938810595359,0,0,0.96877291453779257,0,0.031227085462207392,0,0,791592,0.3246784354902218,1637957,0.67182249967187291,7798,0.0031984184276151726,733,0.0003006464102900643,791590,0.3246776151725948,2,8.2031762698516866e-07,0,0,1637957,0.67182249967187291,7798,0.0031984184276151726,0,0,0,0,733,0.0003006464102900643,0,0,8499,0.025028196844898213,331078,0.97497180315510179
ligra,ligra_CF,1,1.22645,1.3519600000000001,0.45868334984461301,571608,11.43216,571608,67598,0.44098009146796585,0,0.017703258376647171,0,0,0.96140418355572654,0,0.038595816444273498,0,0,224145,0.39213062098501072,312939,0.54747134399798458,34238,0.059897692124672851,286,0.00050034289233180781,224145,0.39213062098501072,0,0,0,0,312939,0.54747134399798458,34238,0.059897692124672851,0,0,0,0,286,0.00050034289233180781,0,0,34630,0.51229326311429335,32968,0.4877067368857067
ligra,ligra_Components,1,0.443102,1.1160798883920111,1,3578522,71.57043284295672,3578522,55803,1,0,0,0,0,1,0,0,0,0,1953661,0.54594075431141686,1617777,0.45207965746752432,7084,0.0019795882210588618,0,0,1953661,0.54594075431141686,0,0,0,0,1617777,0.45207965746752432,7084,0.0019795882210588618,0,0,0,0,0,0,0,0,6975,0.1249932799311865,48828,0.87500672006881353
ligra,ligra_PageRank,3,0.49067280525560747,28.710491610703837,0.47402359037228564,13747046,91.646967834515266,13747046,4306574,0.46886120829965655,1.1006976551947921e-07,0.0051622720028635747,0,0,0.9891094405901304,2.3220313873626693e-07,0.010890327206730919,0,0,5861268,0.42636563520628357,7839719,0.57028389953739878,43709,0.0031795194400309709,2350,0.00017094581628664078,5861263,0.42636527149178083,5,3.637145027375336e-07,0,0,7839719,0.57028389953739878,43707,0.0031793739542298762,2,1.4548580109501344e-07,0,0,2350,0.00017094581628664078,0,0,46084,0.010700849445522125,4260490,0.98929915055447792
ligra,ligra_PageRankDelta,2,0.60750169944453658,5.5501696669898202,0.45568047842521653,2799846,27.998458320092499,2799846,555017,0.44693414428290407,0,0.0087463341423124549,0,0,0.98080599332993401,0,0.019194006670065961,0,0,977845,0.34924956586897993,1815977,0.64859888722451164,5406,0.001930820480840732,618,0.00022072642566769743,977842,0.3492484943814767,3,1.0714875032412497e-06,0,0,1815977,0.64859888722451164,5406,0.001930820480840732,0,0,0,0,618,0.00022072642566769743,0,0,6005,0.010819488412066657,549012,0.9891805115879333
ligra,ligra_Radii,2,0.28205929814845671,10.992100000000001,0.35892958193508695,5423519,54.235190000000003,5423519,1099210,0.35180330106414209,1.3061365232670262e-06,0.0071249747344216277,0,0,0.98014574103219587,3.6389770835418163e-06,0.01985061999072061,0,0,2064106,0.38058426641448106,3308481,0.6100247828024572,49290,0.0090881953211558765,1642,0.00030275546190582168,2064039,0.3805719128115897,67,1.2353602891406852e-05,0,0,3308481,0.6100247828024572,49286,0.0090874577926250474,4,7.3752853083025987e-07,0,0,1642,0.00030275546190582168,0,0,50933,0.046336004949008837,1048277,0.9536639950509912
spec06,gmean_spec06,18,0.62541145053010128,4.2927342679653693,0.14346379802024273,32892604,36.547336275276173,32892604,3863460,0.1288139670351881,0.00013913919441191447,0.014510691790642708,0,0,0.89788482399589387,0.00096985578474844184,0.10114532021935772,0,0,9746125,0.29630141170945296,22406030,0.68118747910624533,699893,0.021278126839699284,40556,0.0012329823446024523,9719089,0.29547946401567965,27036,0.00082194769377334797,0,0,22406030,0.68118747910624533,698945,0.021249305770987301,948,2.8821068711981574e-05,0,0,40556,0.0012329823446024523,0,0,753672,0.19507695174791509,3109788,0.80492304825208494
spec17,gmean_spec17,12,0.48655434111194606,6.7399331760682255,0.29200033908188811,28537705,47.562840556867052,28537705,4043958,0.27661767549545596,0.00051959822550996229,0.014863065360922198,0,0,0.9473197064263742,0.001779443911413565,0.05090084966221229,0,0,6972235,0.24431659798852079,20308261,0.71162908860400653,1239269,0.043425671405601815,17940,0.00062864200187085818,6944998,0.24336217646093125,27237,0.00095442152758955213,0,0,20308261,0.71162908860400653,1237880,0.043376998956293086,1389,4.8672449308730329e-05,0,0,17940,0.00062864200187085818,0,0,1255554,0.31047651830211886,2788404,0.68952348169788114
gap,gmean_gap,3,0.13628283557292467,53.52152976523135,0.8307906534796744,25111278,167.40850883943276,25111278,8028230,0.81108694997527253,0,0.019703703504401832,0,0,0.97628319069084968,0,0.023716809309150336,0,0,8842645,0.35213838977052464,15650383,0.62324119863592764,602169,0.023980022044278272,16081,0.00064038954926945576,8842645,0.35213838977052464,0,0,0,0,15650383,0.62324119863592764,602169,0.023980022044278272,0,0,0,0,16081,0.00064038954926945576,0,0,618818,0.077080253057025025,7409412,0.92291974694297496
ligra,gmean_ligra,10,0.49675291434614677,12.847559409012268,0.4407897955588907,28558621,57.117239372606988,28558621,6423779,0.434436345104393,3.4309222572915847e-07,0.006353107362271973,0,0,0.98558621247925671,7.7835791387625351e-07,0.014413009162829362,0,0,11872617,0.41572795129008505,16532850,0.57890925475708366,147525,0.0051656905982960452,5629,0.00019710335453522072,11872540,0.41572525508146907,77,2.6962086159552314e-06,0,0,16532850,0.57890925475708366,147519,0.0051654805041181787,6,2.100941778666414e-07,0,0,5629,0.00019710335453522072,0,0,153126,0.023837370494844235,6270653,0.97616262950515575
