dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,dram_rq_read_total_observed_count,dram_rq_read_pki,total_classified_read_count,stlb_miss_ptw_dram_touch_total_count,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate,cache_demand_count,cache_demand_share,cache_prefetch_count,cache_prefetch_share,stlb_demand_count,stlb_demand_share,stlb_prefetch_count,stlb_prefetch_share,data_demand_read_count,data_demand_read_share,inst_demand_read_count,inst_demand_read_share,cache_inst_prefetch_count,cache_inst_prefetch_share,cache_data_prefetch_count,cache_data_prefetch_share,stlb_data_demand_count,stlb_data_demand_share,stlb_inst_demand_count,stlb_inst_demand_share,stlb_l1i_pref_count,stlb_l1i_pref_share,stlb_l1d_pref_count,stlb_l1d_pref_share,unclassified_read_count,unclassified_read_share,stlb_miss_touch_dram_count,stlb_miss_touch_dram_share,stlb_miss_no_dram_touch_count,stlb_miss_no_dram_touch_share
spec06,459.GemsFDTD,459.GemsFDTD-1211B,459.GemsFDTD-1211B.champsimtrace.xz,50000000,46371521,1.0782499999999999,385986,272774,113212,2.26424,0.29330600000000001,1109232,22.1846,1109232,113212,78852,0.204287,1,2.5907699999999998e-06,34359,0.089016200000000004,0,0,0,0,208442,0.18791560286756964,885909,0.79866880868925527,10422,0.0093956899909126319,4459,0.0040198984522624662,208388,0.18786692053601051,54,4.8682331559132802e-05,0,0,885909,0.79866880868925527,10420,0.0093938869415956267,2,1.8030493170049187e-06,0,0,4459,0.0040198984522624662,0,0,14727,0.1300833833869201,98485,0.86991661661307984
spec06,459.GemsFDTD,459.GemsFDTD-1320B,459.GemsFDTD-1320B.champsimtrace.xz,50000005,50225925,0.995502,643223,577000,66223,1.32446,0.102955,782526,15.650499999999999,782526,66223,16365,0.025442200000000002,2,3.1093399999999999e-06,49856,0.077509700000000001,0,0,0,0,214247,0.27378898592506828,556584,0.71126582375537684,3699,0.00472699948627905,7996,0.010218190833275827,214138,0.27364969342871676,109,0.00013929249635155893,0,0,556584,0.71126582375537684,3697,0.0047244436606579208,2,2.5558256211295217e-06,0,0,7996,0.010218190833275827,0,0,11636,0.17570934569560426,54587,0.82429065430439574
spec06,459.GemsFDTD,459.GemsFDTD-765B,459.GemsFDTD-765B.champsimtrace.xz,50000002,62869047,0.79530400000000001,308317,80517,227800,4.556,0.73885000000000001,1785948,35.719000000000001,1785948,227800,149734,0.48565000000000003,2,6.4868299999999999e-06,78064,0.25319399999999997,0,0,0,0,395515,0.22145941539171354,1359875,0.76143034399657772,20942,0.011725985303043538,9616,0.005384255308665202,395406,0.22139838337958329,109,6.103201213025239e-05,0,0,1359875,0.76143034399657772,20938,0.011723745596176373,4,2.2397068671652256e-06,0,0,9616,0.005384255308665202,0,0,30233,0.13271729587357331,197567,0.86728270412642672
spec06,471.omnetpp,471.omnetpp-188B,471.omnetpp-188B.champsimtrace.xz,50000005,107267838,0.46612300000000001,1034355,810943,223412,4.4682399999999998,0.21599199999999999,1772208,35.444200000000002,1772208,223412,207124,0.20024500000000001,296,0.00028616900000000002,15992,0.0154608,0,0,0,0,517788,0.29217112212561958,1212717,0.6842972156767152,40693,0.022961751667975767,1010,0.00056991052968951726,516393,0.29138396847322662,1395,0.00078715365239294714,0,0,1212717,0.6842972156767152,40592,0.022904760615006816,101,5.6991052968951725e-05,0,0,1010,0.00056991052968951726,0,0,41719,0.18673571697133548,181693,0.81326428302866449
spec06,473.astar,473.astar-359B,473.astar-359B.champsimtrace.xz,50000005,224102087,0.22311300000000001,1674514,841728,832786,16.6557,0.49732999999999999,2458326,49.166499999999999,2458326,832785,788640,0.47096700000000002,0,0,44146,0.026363500000000002,0,0,0,0,1202484,0.48914749305014876,1179079,0.47962678668329589,73965,0.030087547379802352,2798,0.001138172886753018,1202477,0.48914464558402748,7,2.8474661212548702e-06,0,0,1179079,0.47962678668329589,73965,0.030087547379802352,0,0,0,0,2798,0.001138172886753018,0,0,89754,0.10777571642140528,743031,0.89222428357859473
spec06,473.astar,473.astar-42B,473.astar-42B.champsimtrace.xz,50000000,88810727,0.56299500000000002,1186154,1077151,109003,2.1800600000000001,0.091896199999999997,247773,4.9554600000000004,247773,109003,108164,0.0911888,8,6.7444899999999997e-06,831,0.00070058399999999997,0,0,0,0,97228,0.39240756660330223,149258,0.60239816283452996,1263,0.0050974077078616313,24,9.6862854306159271e-05,97123,0.39198379161571278,105,0.00042377498758944677,0,0,149258,0.60239816283452996,1259,0.0050812638988106049,4,1.6143809051026543e-05,0,0,24,9.6862854306159271e-05,0,0,1277,0.011715273891544269,107726,0.98828472610845575
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,50000001,126231077,0.39609899999999998,219714,31908,187806,3.7561200000000001,0.85477499999999995,2747501,54.950000000000003,2747501,187806,158044,0.71931699999999998,2821,0.012839400000000001,26941,0.122618,0,0,0,0,572417,0.20834096147735706,2122463,0.77250672520228381,50748,0.018470602922437518,1873,0.00068171039792160222,550842,0.20048837106883674,21575,0.0078525904085203248,0,0,2122463,0.77250672520228381,50055,0.018218373714877629,693,0.00025222920755988803,0,0,1873,0.00068171039792160222,0,0,52417,0.27910183913187014,135389,0.72089816086812986
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,50000001,36024298,1.38795,420431,367790,52641,1.0528200000000001,0.12520700000000001,194063,3.8812600000000002,194063,52641,50868,0.12099,596,0.00141759,1177,0.0027995099999999998,0,0,0,0,77416,0.39892199955684493,93992,0.48433756048293597,22493,0.11590565950232656,162,0.0008347804578925401,74116,0.38191721245162652,3300,0.017004787105218407,0,0,93992,0.48433756048293597,22371,0.11527699767601243,122,0.00062866182631413515,0,0,162,0.0008347804578925401,0,0,22662,0.43050094033168063,29979,0.56949905966831937
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,50000000,91185030,0.54833600000000005,68109,2404,65705,1.3141,0.96470400000000001,3672481,73.449600000000004,3672481,65705,59594,0.87497999999999998,0,0,6111,0.089723800000000006,0,0,0,0,73404,0.019987577879912788,3584608,0.97607257872811326,13718,0.003735349481726386,751,0.00020449391024759557,73404,0.019987577879912788,0,0,0,0,3584608,0.97607257872811326,13718,0.003735349481726386,0,0,0,0,751,0.00020449391024759557,0,0,13951,0.21232782893234914,51754,0.78767217106765086
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,50000000,82987345,0.60250199999999998,1286202,164440,1121762,22.435199999999998,0.87215100000000001,1512581,30.2516,1512581,1121761,1119252,0.87019899999999994,0,0,2510,0.00195148,0,0,0,0,326537,0.21588067019220789,1173743,0.7759868727691277,12084,0.0079889936472823612,217,0.00014346339138201524,326537,0.21588067019220789,0,0,0,0,1173743,0.7759868727691277,12084,0.0079889936472823612,0,0,0,0,217,0.00014346339138201524,0,0,12294,0.010959553773040781,1109467,0.98904044622695919
