dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,473.astar,473.astar-42B,100000000,194304133,0.514657,2337246,1785715,551531,5.51531,0.235975,551523,0.235971,8,3.42283e-06,0,0,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,100000000,338296544,0.295599,429847,83026,346821,3.46821,0.806848,341520,0.794515,5301,0.0123323,0,0,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,100000000,540869261,0.184888,135923,4546,131377,1.31377,0.966555,131377,0.966555,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,100000000,200957024,0.497619,2445867,206588,2239279,22.3928,0.915536,2239279,0.915536,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1644B,100000005,516636512,0.19356,2960019,538468,2421551,24.2155,0.818086,2421551,0.818086,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-472B,100000000,277167032,0.360793,299912,170092,129820,1.2982,0.43286,129820,0.43286,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,100000000,818851377,0.122122,8524816,8411638,113178,1.13178,0.0132763,113178,0.0132763,0,0,0,0,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,100000000,248984540,0.401631,1622447,814781,807666,8.07666,0.497807,807666,0.497807,0,0,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,100000002,213464670,0.468462,2249935,1763770,486165,4.86165,0.21608,484485,0.215333,1680,0.000746688,0,0,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,100000000,194511672,0.514108,2058923,1631414,427509,4.27509,0.207637,425382,0.206604,2127,0.00103306,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,100000003,148865508,0.671747,724090,242912,481178,4.81178,0.664528,476057,0.657456,5121,0.00707233,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,100000000,85109640,1.17496,2330789,2202278,128511,1.28511,0.0551363,126725,0.05437,1786,0.000766264,0,0,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,100000000,96631629,1.03486,3055195,2879476,175719,1.75719,0.0575148,174057,0.0569708,1662,0.000543991,0,0,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,100000004,138029995,0.72448,460189,120592,339597,3.39597,0.737951,339597,0.737951,0,0,0,0,0,0,0,0
gap,bc,bc.kron-2608B,100000004,221482389,0.451503,1848388,33994,1814394,18.1439,0.981609,1814394,0.981609,0,0,0,0,0,0,0,0
gap,bc,bc.kron-5154B,100000002,106091200,0.942585,290773,4668,286105,2.86105,0.983946,286105,0.983946,0,0,0,0,0,0,0,0
gap,bc,bc.road-131B,100000004,616401097,0.162232,1495626,647993,847633,8.47633,0.566741,847633,0.566741,0,0,0,0,0,0,0,0
gap,bc,bc.road-174B,100000000,429571007,0.23279,1735984,858408,877576,8.77576,0.505521,877576,0.505521,0,0,0,0,0,0,0,0
gap,bc,bc.road-79B,100000002,355349120,0.281413,1949542,1212107,737435,7.37435,0.378261,737435,0.378261,0,0,0,0,0,0,0,0
gap,bc,bc.road-95B,100000000,465601241,0.214776,1445328,652855,792473,7.92473,0.5483,792473,0.5483,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-1658B,100000002,252497608,0.396043,1016717,29023,987694,9.87694,0.971454,987694,0.971454,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-2320B,100000005,178539602,0.5601,1969089,63633,1905456,19.0546,0.967684,1905456,0.967684,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-309B,100000000,496754929,0.201307,4321221,49508,4271713,42.7171,0.988543,4271713,0.988543,0,0,0,0,0,0,0,0
gap,bc,bc.twitter-876B,100000005,562805707,0.177681,7010809,368802,6642007,66.4201,0.947395,6642007,0.947395,0,0,0,0,0,0,0,0
gap,bc,bc.urand-3004B,100000002,304649750,0.328246,1100723,19172,1081551,10.8155,0.982582,1081551,0.982582,0,0,0,0,0,0,0,0
gap,bfs,bfs.kron-128B,100000002,218445246,0.457781,117741,8144,109597,1.09597,0.930831,109597,0.930831,0,0,0,0,0,0,0,0
gap,bfs,bfs.kron-542B,100000001,536649208,0.186341,3528958,1771464,1757494,17.5749,0.498021,1757453,0.498009,41,1.16182e-05,0,0,0,0,0,0
gap,bfs,bfs.road-112B,100000001,524410739,0.19069,1296625,507438,789187,7.89187,0.608647,787574,0.607403,1613,0.001244,0,0,0,0,0,0
gap,bfs,bfs.road-128B,100000000,594307187,0.168263,1523802,550392,973410,9.7341,0.638803,972208,0.638015,1202,0.000788816,0,0,0,0,0,0
gap,bfs,bfs.road-140B,100000005,575214299,0.173848,1344393,485585,858808,8.58808,0.638807,857753,0.638023,1055,0.000784741,0,0,0,0,0,0
gap,bfs,bfs.road-19B,100000000,424822967,0.235392,1283654,1055714,227940,2.2794,0.177571,227333,0.177098,607,0.000472869,0,0,0,0,0,0
gap,bfs,bfs.twitter-10B,100000004,332729995,0.300544,472395,194968,277427,2.77427,0.587278,277427,0.587278,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-160B,100000000,538137693,0.185826,3557532,3286234,271298,2.71298,0.0762602,271298,0.0762602,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-163B,100000003,362180647,0.276105,557870,248004,309866,3.09866,0.555445,309866,0.555445,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-242B,100000001,463213300,0.215883,853814,625635,228179,2.28179,0.267247,228179,0.267247,0,0,0,0,0,0,0,0
gap,bfs,bfs.twitter-408B,100000002,333113082,0.300198,701336,526379,174957,1.74957,0.249462,174917,0.249405,40,5.7034e-05,0,0,0,0,0,0
gap,bfs,bfs.twitter-44B,100000005,373049563,0.268061,6802518,6515166,287352,2.87352,0.042242,287352,0.042242,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-118B,100000000,753852827,0.132652,4406627,107606,4299021,42.9902,0.975581,4299021,0.975581,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-161B,100000004,681260254,0.146787,6970780,5764159,1206621,12.0662,0.173097,1206621,0.173097,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-356B,100000000,685653759,0.145846,4293833,109049,4184784,41.8478,0.974603,4184784,0.974603,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-36B,100000004,436960913,0.228853,3938030,3270444,667586,6.67586,0.169523,667546,0.169513,40,1.01574e-05,0,0,0,0,0,0
gap,bfs,bfs.urand-410B,100000002,755596717,0.132346,5661608,5208643,452965,4.52965,0.0800064,452965,0.0800064,0,0,0,0,0,0,0,0
gap,bfs,bfs.urand-60B,100000000,729807607,0.137022,6156480,5514565,641915,6.41915,0.104267,641915,0.104267,0,0,0,0,0,0,0,0
