dataset,workload,pref_ipc,infinite_stlb_ipc,infinite_stlb_speedup,infinite_stlb_gain_pct,pref_stlb_mpki,infinite_stlb_mpki,stlb_mpki_reduction,stlb_mpki_reduction_pct,pref_stlb_miss_rate,infinite_stlb_miss_rate,stlb_miss_rate_reduction,stlb_miss_rate_reduction_pct
gap,gap.bc.twitter-10B,0.16733600000000004,0.18034600000000003,1.0777477649758569,7.7747764975856892,35.754800000000003,0.65835999999999995,35.096440000000001,98.158680792508974,0.96699400000000002,0.0177994,0.9491946,98.159306055673554
gap,gap.cc.twitter-10B,0.531165,0.56321399999999999,1.0603371833611024,6.0337183361102387,2.5708600000000001,0.23798,2.3328800000000003,90.743175435457403,0.715364,0.0662687,0.64909530000000004,90.736366381310788
gap,gap.pr.twitter-10B,0.032385400000000002,0.036798600000000001,1.136271282738518,13.627128273851795,122.20999999999999,0.20705999999999999,122.00294,99.830570329760249,0.80048600000000003,0.0013563900000000001,0.79912961000000005,99.830554188330595
ligra,ligra_BellmanFord,0.47315200000000002,0.48619800000000002,1.0275725348302449,2.757253483024491,6.7920999999999996,0.32303999999999999,6.4690599999999998,95.243886279648422,0.33796799999999999,0.016070000000000001,0.32189800000000002,95.245111963262801
ligra,ligra_CF,1.2135800000000001,1.31687,1.0851118179271246,8.5111817927124633,1.35114,0.58043999999999996,0.77070000000000005,57.040721168790796,0.458511,0.19695599999999999,0.26155499999999998,57.044432957987922
ligra,ligra_Components,0.43010999999999999,0.43010999999999999,1,0,1.11608,1.11608,0,0,1,1,0,0
ligra,ligra_PageRank,0.52393723995600694,0.54050018667805755,1.0316124632092221,3.1612463209222064,28.707899999999999,0.13605333333333333,28.571846666666666,99.526077026416658,0.52646066666666669,0.0028740866666666664,0.52358658000000002,99.454073808616286
ligra,ligra_PageRankDelta,0.62214981151166482,0.63834560608732949,1.0260319850235315,2.6031985023531545,5.5531000000000006,0.089380000000000001,5.4637200000000004,98.390448578271588,0.46287,0.0096581199999999992,0.45321188000000001,97.913427096160916
ligra,ligra_Radii,0.27100329928618949,0.27889778811600502,1.0291306004414309,2.9130600441430898,10.991309999999999,0.23784,10.753469999999998,97.83610870769725,0.43779115000000002,0.0080661750000000001,0.42972497500000001,98.157528995275484
qmm,fp,0.60023184643340022,0.6199491562436279,1.032849489622033,3.2849489622033046,2.0021400000000003,0.14268666666666666,1.8594533333333336,92.873292243965622,0.25781100000000001,0.020522246666666667,0.23728875333333335,92.039809524548346
qmm,int,0.43918247397886145,0.46309413331545934,1.0544458414288835,5.4445841428883535,6.725015,0.32985750000000003,6.3951574999999998,95.095066702453451,0.647756,0.064373333749999997,0.58338266625000001,90.062101508901506
qmm,srv,1.6941331941972777,1.8215301051526296,1.0751988753845978,7.5198875384597796,2.0132399999999997,0.02177578947368421,1.9914642105263154,98.918370910885727,0.11868624736842105,0.0012878702105263158,0.11739837715789474,98.914895163439979
