dataset,workload,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,cc,0.3602492956054848,0.37986641491017537,1.0544542891380797,0.43014231151100718,1.1940129148290231,0.38509310385267154,1.0689628225516192,0.43473563288014472,1.206763311360451
gap,pr,0.029532338122000876,0.02956611558492107,1.0011437449612239,0.034659854857535893,1.1736237989133396,0.029556408729555169,1.0008150593242859,0.034657130990463393,1.1735315655432197
gap,sssp,0.21242276868259477,0.21375426340469306,1.0062681356163277,0.29186798786520912,1.3739957805621235,0.21398588009437303,1.007358492789979,0.2938044173122995,1.3831117028293065
gap,tc,0.15667439767663011,0.15662441827996845,0.99968099831623536,0.22322837706130305,1.4247916722299312,0.15682302425262509,1.0009486334602145,0.22341102261166468,1.4259574373649508
ligra,ligra_BC,0.55166300000000001,0.55940900000000005,1.0140411809383627,0.56624699999999994,1.0264364294868424,0.55912200000000001,1.0135209357886972,0.56644799999999995,1.0268007823616954
ligra,ligra_BFS,0.60267199999999999,0.62271900000000002,1.0332635330660791,0.63325200000000004,1.0507407014097221,0.62414800000000004,1.0356346404014125,0.63503399999999999,1.0536975336501446
ligra,ligra_BellmanFord,0.39279999999999998,0.40173300000000001,1.0227418533604888,0.41558200000000001,1.0579989816700612,0.40292699999999998,1.025781568228106,0.41550300000000001,1.0577978615071284
ligra,ligra_CF,1.05196,1.07325,1.0202384121069243,1.4463900000000001,1.3749477166432185,1.07372,1.0206851971557853,1.4499599999999999,1.3783413818015893
ligra,ligra_Components,0.45033899999999999,0.453374,1.0067393674542955,0.45805299999999999,1.0171293181358931,0.45405000000000001,1.0082404588543299,0.45885700000000001,1.0189146398601943
ligra,ligra_Components-Shortcut,0.46434900000000001,0.467553,1.0068999825562239,0.47050399999999998,1.0132551163026084,0.46678700000000001,1.00525036125845,0.46968700000000002,1.0114956638218238
ligra,ligra_PageRank,0.62536920913901195,0.63590669543550415,1.0168500241817149,0.65079205584783284,1.0406525398713222,0.6374179761360167,1.0192666457205228,0.65273178090154638,1.0437542676592704
ligra,ligra_PageRankDelta,0.64287991886774065,0.65752475299791113,1.0227800460091574,0.66977354374431586,1.0418330454681819,0.65739670044162191,1.0225808602008424,0.67298077442301252,1.0468218942167091
ligra,ligra_Radii,0.27452435354370974,0.27653301539743219,1.0073168803706978,0.28425250538763286,1.0354363892250247,0.27754688198678074,1.0110100557712078,0.28445048764683567,1.0361575720878458
qmm,fp,0.6142178759865109,0.6410335245373685,1.0436582027310559,0.6539022389723238,1.0646095864957934,0.63882514971618432,1.0400627768935429,0.65514692705930422,1.0666360467074589
qmm,int,0.45604219961999382,0.47772844287941491,1.0475531502950639,0.50107822953611114,1.098754084498418,0.47682965445695463,1.0455823054407736,0.50390118812538498,1.1049442103061309
qmm,srv,1.7155142629153168,1.7166833030732682,1.0006814517274631,1.8392865687663786,1.0721488060616442,1.7168629158758699,1.0007861508293501,1.8401360553530635,1.0726439850322005
parsec,canneal,0.4025746420889178,0.40261850321546799,1.0001089515383348,0.42924300087509498,1.0662445072242948,0.40262306267239123,1.0001202772813065,0.42929829181151524,1.0663818505406382
spec06,gmean_spec06,0.53374412468961963,0.59858838682922677,1.1214894162578652,0.61792517994252782,1.1577179988667055,0.59912794321663654,1.1225003058629235,0.61955413298782713,1.1607699351222034
spec17,gmean_spec17,0.50386506840158729,0.54481382690472446,1.0812692942438717,0.58934337679594062,1.1696452359071379,0.54663341448330849,1.0848805538700972,0.59223856497368443,1.17539119521114
gap,gmean_gap,0.20437757639499893,0.20880660162042466,1.0216707982526705,0.24885367013708232,1.2176172872121978,0.20965487619426532,1.0258213248848151,0.2498243727664014,1.2223668426499386
