dataset,workload,trace_tag,discard_pgc_ipc,pref_ipc,pref_speedup,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
spec17,620.omnetpp_s,620.omnetpp_s-874B,0.51452799999999999,0.513791,0.99856761925492876,0.57193899999999998,1.111579933453573,0.51347600000000004,0.99795540767460678,0.57258500000000001,1.1128354530754401
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,0.67551099999999997,0.67739700000000003,1.0027919604566025,0.72341,1.070907801649418,0.67745100000000003,1.0028718999394532,0.72503600000000001,1.073314868299702
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,1.17991,1.1791199999999999,0.99933045740776838,1.2031799999999999,1.0197218431914297,1.1774199999999999,0.99788966955106739,1.20381,1.0202557822206779
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,1.03878,1.03596,0.99728527695951019,1.06978,1.0298427000904906,1.0338799999999999,0.99528292805021268,1.0644899999999999,1.0247501877202101
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,0.84731500000000004,1.1654599999999999,1.3754742923233978,1.17516,1.3869222190094592,1.19669,1.4123318954580055,1.19756,1.4133586682638688
gap,bc,bc.kron-2608B,0.480244,0.479991,0.99947318446456379,0.67941399999999996,1.4147266806040262,0.483929,1.007673182798744,0.68009200000000003,1.4161384629480014
gap,bc,bc.kron-5154B,0.95850599999999997,0.96195600000000003,1.0035993514907575,1.4118200000000001,1.4729380932409397,0.96221599999999996,1.0038706069654233,1.4136899999999999,1.4748890460779587
gap,bc,bc.road-131B,0.162192,0.16236400000000001,1.0010604715399034,0.171044,1.0545772911117688,0.162138,0.99966706126072802,0.170899,1.0536832889415013
gap,bc,bc.road-174B,0.23242199999999999,0.23188600000000001,0.99769384997977828,0.24374999999999999,1.0487389317706586,0.23196600000000001,0.99803805147533375,0.243677,1.0484248479059641
gap,bc,bc.road-79B,0.28111999999999998,0.28065899999999999,0.99836013090495168,0.293126,1.0427077404667047,0.28065200000000001,0.99833523050654538,0.29340899999999998,1.0437144280022765
gap,bc,bc.road-95B,0.21408099999999999,0.213869,0.99900972061976545,0.225887,1.0551473507691014,0.213921,0.999252619335672,0.22578200000000001,1.0546568822081364
gap,bc,bc.twitter-1658B,0.404283,0.40610600000000002,1.0045092175530508,0.52338399999999996,1.2945980909412464,0.40636299999999997,1.0051449108668926,0.52404200000000001,1.2962256637058693
gap,bc,bc.twitter-2320B,0.591171,0.59070900000000004,0.99921850023089775,0.75486200000000003,1.2768928110479032,0.59020899999999998,0.99837272126000765,0.75784899999999999,1.28194549462
gap,bc,bc.twitter-309B,0.20075699999999999,0.20130200000000001,1.0027147247667578,0.229044,1.1409016871142725,0.20144300000000001,1.0034170664036621,0.22961300000000001,1.1437359593936949
gap,bc,bc.twitter-876B,0.17891799999999999,0.17873900000000001,0.99899954168948912,0.20486199999999999,1.1450049743457897,0.17837600000000001,0.99697067930560379,0.20536199999999999,1.1477995506321332
gap,bc,bc.urand-3004B,0.328291,0.32841100000000001,1.0003655293626692,0.58585900000000002,1.7845722240329465,0.32847599999999999,1.0005635244341149,0.58612900000000001,1.7853946650989518
gap,bfs,bfs.kron-128B,0.50060199999999999,0.53136899999999998,1.0614600021574025,0.57591199999999998,1.1504388715985954,0.53206900000000001,1.0628583185844245,0.57676099999999997,1.1521348296650833
gap,bfs,bfs.kron-542B,0.20004,0.20288600000000001,1.0142271545690862,0.21352699999999999,1.0674215156968607,0.20336499999999999,1.0166216756648669,0.21364900000000001,1.0680313937212558
gap,bfs,bfs.road-112B,0.19067200000000001,0.19062999999999999,0.99977972644121837,0.19988300000000001,1.0483080892842158,0.19056000000000001,0.99941260384324915,0.19983600000000001,1.0480615926827221
gap,bfs,bfs.road-128B,0.16811999999999999,0.168102,0.99989293361884379,0.17594399999999999,1.0465381870092791,0.16814000000000001,1.0001189626457294,0.17615700000000001,1.0478051391862957
gap,bfs,bfs.road-140B,0.173678,0.173649,0.99983302433238519,0.182618,1.0514745678784878,0.17388999999999999,1.0012206497080804,0.182616,1.051463052315204
gap,bfs,bfs.road-19B,0.23574800000000001,0.23557,0.99924495647895206,0.24154900000000001,1.0246067835146004,0.235903,1.0006574817177665,0.24174300000000001,1.0254296961161919
gap,bfs,bfs.twitter-10B,0.347167,0.36535499999999999,1.0523897720693498,0.42996800000000002,1.2385048118052695,0.36592999999999998,1.0540460354814829,0.42990299999999998,1.2383175820282457
gap,bfs,bfs.twitter-160B,0.196744,0.200985,1.0215559305493433,0.20883399999999999,1.0614504127190663,0.20064199999999999,1.0198125482860976,0.20952100000000001,1.064942259992681
