dataset,workload,trace_tag,baseline_ipc,ideal_demand_ipc,ideal_demand_speedup,ideal_l1pref_ipc,ideal_l1pref_speedup,ideal_all_ipc,ideal_all_speedup
gap,bc,bc.twitter-2320B,0.59070900000000004,0.75486200000000003,1.277891482946764,0.59020899999999998,0.99915355953608287,0.75784899999999999,1.2829481182782045
gap,bc,bc.twitter-309B,0.20130200000000001,0.229044,1.1378128384218735,0.20144300000000001,1.000700440134723,0.22961300000000001,1.1406394372634152
gap,bc,bc.twitter-876B,0.17873900000000001,0.20486199999999999,1.1461516512904288,0.17837600000000001,0.99796910579112563,0.20536199999999999,1.148949026233782
gap,bc,bc.urand-3004B,0.32841100000000001,0.58585900000000002,1.7839201488378891,0.32847599999999999,1.0001979227248783,0.58612900000000001,1.7847422893873834
gap,bfs,bfs.kron-128B,0.53136899999999998,0.57591199999999998,1.0838268698399793,0.53206900000000001,1.0013173519719818,0.57676099999999997,1.0854246295888543
gap,bfs,bfs.kron-542B,0.20288600000000001,0.21352699999999999,1.0524481728655499,0.20336499999999999,1.0023609317547784,0.21364900000000001,1.0530494957759529
gap,bfs,bfs.road-112B,0.19062999999999999,0.19988300000000001,1.0485390547133191,0.19056000000000001,0.99963279651681269,0.19983600000000001,1.048292503803179
gap,bfs,bfs.road-128B,0.168102,0.17594399999999999,1.0466502480636755,0.16814000000000001,1.0002260532295868,0.17615700000000001,1.0479173359032017
gap,bfs,bfs.road-140B,0.173649,0.182618,1.0516501678673646,0.17388999999999999,1.0013878571140633,0.182616,1.051638650380941
gap,bfs,bfs.road-19B,0.23557,0.24154900000000001,1.0253809907883007,0.235903,1.0014135925627201,0.24174300000000001,1.0262045251942098
gap,bfs,bfs.twitter-10B,0.36535499999999999,0.42996800000000002,1.1768499130982197,0.36592999999999998,1.001573811772112,0.42990299999999998,1.1766720039413721
gap,bfs,bfs.twitter-160B,0.200985,0.20883399999999999,1.0390526656218126,0.20064199999999999,0.99829340498047114,0.20952100000000001,1.042470831156554
gap,bfs,bfs.twitter-163B,0.32311600000000001,0.37499300000000002,1.1605522474900656,0.323577,1.0014267321952488,0.37473800000000002,1.1597630572302207
gap,bfs,bfs.twitter-242B,0.23235900000000001,0.25022899999999998,1.0769068553402277,0.232321,0.99983645996066428,0.25015500000000002,1.0765883826320479
gap,bfs,bfs.twitter-408B,0.325239,0.34068999999999999,1.0475066028366831,0.32592300000000002,1.00210306882016,0.34159200000000001,1.0502799479767186
gap,bfs,bfs.twitter-44B,0.34171000000000001,0.34658899999999998,1.0142781891077228,0.34171000000000001,1,0.34681600000000001,1.0149424950981827
gap,bfs,bfs.urand-118B,0.13858000000000001,0.186776,1.3477846731130032,0.13835,0.99834030884687541,0.18688399999999999,1.3485640063501225
