dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
gap,cc,cc.twitter-15B,100000005,252577416,0.395918,2074198,410257,1663941,16.6394,0.802209,1663941,0.802209,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-16B,100000003,192609441,0.519185,1484225,337211,1147014,11.4701,0.772803,1147014,0.772803,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-17B,100000000,268078224,0.373025,2359268,932257,1427011,14.2701,0.604853,1427011,0.604853,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-25B,100000001,445800842,0.224315,1888410,448894,1439516,14.3952,0.76229,1439516,0.76229,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-69B,100000001,234574887,0.426303,2739649,333968,2405681,24.0568,0.878098,2405681,0.878098,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-78B,100000003,222870949,0.44869,1798538,373371,1425167,14.2517,0.792403,1425167,0.792403,0,0,0,0,0,0,0,0
gap,cc,cc.twitter-85B,100000000,216300359,0.46232,1704672,354395,1350277,13.5028,0.792104,1350277,0.792104,0,0,0,0,0,0,0,0
gap,cc,cc.urand-353B,100000000,217102003,0.460613,2703394,442285,2261109,22.6111,0.836396,2261109,0.836396,0,0,0,0,0,0,0,0
gap,cc,cc.web-101B,100000000,189694984,0.527162,168735,35019,133716,1.33716,0.792462,133716,0.792462,0,0,0,0,0,0,0,0
gap,cc,cc.web-13B,100000003,107835770,0.927336,147320,35546,111774,1.11774,0.758716,111759,0.758614,15,0.000101819,0,0,0,0,0,0
gap,cc,cc.web-34B,100000005,124330187,0.80431,149035,20041,128994,1.28994,0.865528,128994,0.865528,0,0,0,0,0,0,0,0
gap,cc,cc.web-99B,100000002,125943387,0.794008,146866,17850,129016,1.29016,0.878461,129016,0.878461,0,0,0,0,0,0,0,0
gap,pr,pr.kron-349B,100000001,4220885961,0.0236917,17560037,277850,17282187,172.822,0.984177,17282184,0.984177,0,0,3,1.70842e-07,0,0,0,0
gap,pr,pr.kron-90B,100000002,4243012596,0.0235682,17059103,262220,16796883,167.969,0.984629,16796880,0.984629,0,0,3,1.75859e-07,0,0,0,0
gap,pr,pr.twitter-168B,100000001,2993640464,0.0334041,16942983,3027065,13915918,139.159,0.821338,13915917,0.821338,0,0,1,5.90215e-08,0,0,0,0
gap,pr,pr.twitter-2161B,100000002,1978816838,0.0505352,8367838,1173981,7193857,71.9386,0.859703,7193857,0.859703,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-2741B,100000004,3114945688,0.0321033,16853162,2653199,14199963,142,0.84257,14199963,0.84257,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-3197B,100000000,3172660396,0.0315193,16883736,2476690,14407046,144.07,0.853309,14407046,0.853309,0,0,0,0,0,0,0,0
gap,pr,pr.twitter-833B,100000002,3549564035,0.0281725,17039975,1319303,15720672,157.207,0.922576,15720669,0.922576,0,0,3,1.76057e-07,0,0,0,0
gap,pr,pr.urand-2209B,100000002,4643923874,0.0215335,18203515,459288,17744227,177.442,0.974769,17744219,0.974769,0,0,8,4.39476e-07,0,0,0,0
gap,sssp,sssp.kron-246B,100000005,550519043,0.181647,7734764,264541,7470223,74.7022,0.965798,7470223,0.965798,0,0,0,0,0,0,0,0
gap,sssp,sssp.road-66B,100000005,285619495,0.350116,1976399,1530736,445663,4.45663,0.225492,444583,0.224946,1080,0.000546448,0,0,0,0,0,0
gap,sssp,sssp.twitter-1116B,100000002,350672908,0.285166,2966539,794395,2172144,21.7214,0.732215,2172144,0.732215,0,0,0,0,0,0,0,0
gap,sssp,sssp.twitter-792B,100000005,975674086,0.102493,6497735,432741,6064994,60.6499,0.933401,6064962,0.933396,32,4.92479e-06,0,0,0,0,0,0
gap,sssp,sssp.twitter-900B,100000000,302552340,0.330521,7004705,597947,6406758,64.0676,0.914636,6406756,0.914636,2,2.85522e-07,0,0,0,0,0,0
gap,sssp,sssp.urand-3381B,100000001,595792701,0.167844,7826980,182371,7644609,76.4461,0.9767,7644609,0.9767,0,0,0,0,0,0,0,0
gap,sssp,sssp.urand-3988B,100000000,572929080,0.174542,7798549,237250,7561299,75.613,0.969578,7561299,0.969578,0,0,0,0,0,0,0,0
gap,sssp,sssp.urand-4669B,100000005,587610492,0.170181,7670969,321359,7349610,73.4961,0.958107,7349608,0.958107,0,0,2,2.60723e-07,0,0,0,0
gap,sssp,sssp.urand-4819B,100000001,599142541,0.166905,7603177,359424,7243753,72.4375,0.952727,7243753,0.952727,0,0,0,0,0,0,0,0
gap,sssp,sssp.web-1185B,100000001,273279382,0.365926,1147851,426163,721688,7.21688,0.62873,721679,0.628722,9,7.84074e-06,0,0,0,0,0,0
gap,tc,tc.twitter-34B,100000000,169773339,0.589021,406805,18681,388124,3.88124,0.954079,388123,0.954076,1,2.45818e-06,0,0,0,0,0,0
gap,tc,tc.urand-1112B,100000002,642869453,0.155553,825679,15335,810344,8.10344,0.981427,810344,0.981427,0,0,0,0,0,0,0,0
gap,tc,tc.urand-187B,100000000,690167240,0.144892,946047,16506,929541,9.29541,0.982553,929541,0.982553,0,0,0,0,0,0,0,0
gap,tc,tc.urand-455B,100000000,862841524,0.115896,1497435,19221,1478214,14.7821,0.987164,1478214,0.987164,0,0,0,0,0,0,0,0
gap,tc,tc.urand-504B,100000000,766963628,0.130384,1181736,17722,1164014,11.6401,0.985003,1164014,0.985003,0,0,0,0,0,0,0,0
gap,tc,tc.urand-825B,100000000,1356306889,0.0737296,3970756,80453,3890303,38.903,0.979739,3890303,0.979739,0,0,0,0,0,0,0,0
ligra,ligra_BC,ligra_BC.com-lj.ungraph.gcc_6.3.0_O3.drop_26750M.length_250M,100000000,181270251,0.551663,531744,416555,115189,1.15189,0.216625,115187,0.216621,2,3.76121e-06,0,0,0,0,0,0
ligra,ligra_BFS,ligra_BFS.com-lj.ungraph.gcc_6.3.0_O3.drop_21500M.length_250M,100000000,165927644,0.602672,490112,385653,104459,1.04459,0.213133,104401,0.213015,58,0.00011834,0,0,0,0,0,0
ligra,ligra_BellmanFord,ligra_BellmanFord.com-lj.ungraph.gcc_6.3.0_O3.drop_33750M.length_250M,100000000,254582413,0.3928,1610548,994422,616126,6.16126,0.382557,616124,0.382556,0,0,2,1.24181e-06,0,0,0,0
ligra,ligra_CF,ligra_CF.com-lj.ungraph.gcc_6.3.0_O3.drop_184750M.length_250M,100000002,95060785,1.05196,343933,168206,175727,1.75727,0.510934,175727,0.510934,0,0,0,0,0,0,0,0
ligra,ligra_Components,ligra_Components.com-lj.ungraph.gcc_6.3.0_O3.drop_22750M.length_250M,100000004,222055175,0.450339,6741074,6425103,315971,3.15971,0.0468725,315962,0.0468712,0,0,9,1.3351e-06,0,0,0,0
ligra,ligra_Components-Shortcut,ligra_Components-Shortcut.com-lj.ungraph.gcc_6.3.0_O3.drop_22000M.length_250M,100000003,215355141,0.464349,7232323,7110301,122022,1.22022,0.0168718,122022,0.0168718,0,0,0,0,0,0,0,0
ligra,ligra_PageRank,ligra_PageRank.com-lj.ungraph.gcc_6.3.0_O3.drop_21750M.length_250M,100000005,170244711,0.58739,7911615,4914819,2996796,29.968,0.378784,2996770,0.378781,0,0,26,3.28631e-06,0,0,0,0
