access_id,cycle,ip,vaddr,vpn,offset,type,origin,cpu,instr_id,is_instr,prefetch_from_this
198,1385821,0,139669186674176,34098922527,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
199,1386509,0,139669186669696,34098922526,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
200,1386525,0,139669186664320,34098922525,30,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
201,1386541,0,139669186661184,34098922524,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
202,1386936,0,139669186656192,34098922523,31,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
203,1387014,0,139669186651200,34098922522,17,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
204,1387291,0,139669186645504,34098922520,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
205,1387715,0,139669186640064,34098922519,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
206,1387757,0,139669186636416,34098922518,42,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
207,1388049,0,139669186632704,34098922517,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
208,1388206,0,139669186620544,34098922514,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
209,1388399,0,139669186621760,34098922515,5,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
210,1388701,0,139669186613120,34098922512,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
211,1389417,0,139669186608128,34098922511,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
212,1389519,0,139669186600256,34098922509,53,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
213,1389529,0,139669186602816,34098922510,29,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
214,1390202,0,139669186878144,34098922577,43,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
215,1390212,0,139669184319680,34098921953,3,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
216,1390213,0,139669186895616,34098922581,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
217,1390484,0,139669186847232,34098922570,8,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
218,1390884,0,139669186842880,34098922569,4,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
219,1390958,0,139669186829056,34098922565,44,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
220,1390984,0,139669186841600,34098922568,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
221,1391060,0,139669186823744,34098922564,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
222,1391515,0,139669186820224,34098922563,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
223,1391826,0,139669186816128,34098922562,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
224,1391837,0,139669186813440,34098922561,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
225,1392799,0,139669186804992,34098922559,52,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
226,1392828,0,139669186801280,34098922558,58,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
227,1392906,0,139669186794752,34098922557,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
228,1392941,0,139669186792832,34098922556,54,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
229,1392990,0,139669186785664,34098922555,6,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
230,1393351,0,139669186781312,34098922554,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
231,1393839,0,139669186779456,34098922553,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
232,1394218,0,139669186768128,34098922550,52,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
233,1394389,0,139669186772544,34098922551,57,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
234,1394465,0,139669186763520,34098922549,44,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
235,1394912,0,139669186746688,34098922545,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
236,1395276,0,139669186738368,34098922543,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
237,1395287,0,139669186757376,34098922548,12,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
238,1395346,0,139669186733760,34098922542,27,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
239,1395466,0,139669186751488,34098922546,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
240,1395746,0,139669186731712,34098922541,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
241,1395881,0,139669186717760,34098922538,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
242,1396374,0,139669186721536,34098922539,28,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
243,1396402,0,139669186711744,34098922537,3,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
244,1396724,0,139669186708736,34098922536,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
245,1396740,0,139669186706432,34098922535,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
246,1396817,0,139669186698752,34098922533,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
247,1396951,0,139669186701312,34098922534,32,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
248,1397199,0,139669186695104,34098922532,63,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
249,1397262,0,139669186690944,34098922531,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
250,1397301,0,139669186681664,34098922529,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
251,1397469,0,139669186684480,34098922530,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
252,1397897,0,139669186678336,34098922528,57,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
253,1398207,0,139669186673792,34098922527,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
254,1398805,0,139669186669696,34098922526,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
255,1398897,0,139669186664128,34098922525,27,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
256,1399156,0,139669186661184,34098922524,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
257,1399581,0,139669186654336,34098922523,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
258,1400029,0,139669186653696,34098922522,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
259,1400295,0,139669186643584,34098922520,26,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
260,1400576,0,139669186636864,34098922518,49,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
261,1400599,0,139669186640064,34098922519,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
262,1401337,0,139669186621760,34098922515,5,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
263,1401817,0,139669186620544,34098922514,50,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
264,1402016,0,139669186613120,34098922512,62,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
265,1402644,0,139669186608128,34098922511,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
266,1402726,0,139669186601088,34098922510,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
267,1403254,0,139669186600256,34098922509,53,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
268,1403292,0,139669186895616,34098922581,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
269,1403408,0,139669186857024,34098922572,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
270,1403644,0,139669186878144,34098922577,43,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
271,1403646,0,139669186848832,34098922570,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
272,1403992,0,139669186843520,34098922569,14,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
273,1404085,0,139669186827776,34098922565,24,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
274,1404099,0,139669186841600,34098922568,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
275,1405159,0,139669186823744,34098922564,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
276,1405206,0,139669186819968,34098922563,30,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
277,1405247,0,139669186811776,34098922561,30,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
278,1405514,0,139669186816128,34098922562,34,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
279,1405782,0,139669186794752,34098922557,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
280,1405794,0,139669186792832,34098922556,54,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
281,1406490,0,139669186785664,34098922555,6,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
282,1406555,0,139669186781312,34098922554,2,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
283,1406756,0,139669186779456,34098922553,37,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
284,1407280,0,139669186775872,34098922552,45,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
285,1407310,0,139669186772544,34098922551,57,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
286,1407383,0,139669186767360,34098922550,40,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
287,1407663,0,139669186764544,34098922549,60,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
288,1408090,0,139669186751488,34098922546,48,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
289,1408141,0,139669186742720,34098922544,39,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
290,1408362,0,139669186738368,34098922543,35,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
291,1408400,0,139669186733760,34098922542,27,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
292,1408402,0,139669186731712,34098922541,59,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
293,1408719,0,139669186726272,34098922540,38,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
294,1408986,0,139669186721536,34098922539,28,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
295,1409019,0,139669186717760,34098922538,33,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
296,1409036,0,139669186711744,34098922537,3,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
297,1409243,0,139669186704256,34098922535,14,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
298,1409584,0,139669186708736,34098922536,20,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
299,1409916,0,139669186701312,34098922534,32,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
300,1409937,0,139669186695104,34098922532,63,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
301,1409971,0,139669186698752,34098922533,56,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
302,1410049,0,139669186684480,34098922530,25,LOAD,L1D_Prefetch_Cross_Page,0,0,0,0
