dataset,workload,trace_tag,trace_name,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,stlb_demand_access,stlb_demand_hit,stlb_demand_miss,stlb_demand_mpki,stlb_demand_miss_rate,stlb_raw_demand_miss,stlb_raw_demand_mpki,cp_pb_demand_hit,cp_pb_demand_hit_mpki,stlb_pb_demand_miss,stlb_pb_demand_mpki,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec06,481.wrf,481.wrf-1281B,481.wrf-1281B.champsimtrace.xz,100000000,37788023,2.6463399999999999,16496,3168,13328,0.13328000000000001,0.80795300000000003,16496,3168,13328,0.13328000000000001,0.80795300000000003,2307,0.02307,0,0,2307,0.02307,2307,0.139852,17,0.0010305500000000001,11004,0.66707099999999997,0,0,0,0
spec06,481.wrf,481.wrf-196B,481.wrf-196B.champsimtrace.xz,100000001,24669615,4.0535699999999997,6274,2648,3626,0.036260000000000001,0.57794100000000004,6274,2648,3626,0.036260000000000001,0.57794100000000004,173,0.00173,0,0,173,0.00173,173,0.027574100000000001,15,0.0023908200000000001,3438,0.54797600000000002,0,0,0,0
spec06,481.wrf,481.wrf-455B,481.wrf-455B.champsimtrace.xz,100000001,34742299,2.8783400000000001,9578,2273,7305,0.073050000000000004,0.76268499999999995,9578,2273,7305,0.073050000000000004,0.76268499999999995,422,0.0042199999999999998,0,0,422,0.0042199999999999998,422,0.044059300000000003,8,0.00083524700000000001,6875,0.71779099999999996,0,0,0,0
spec06,481.wrf,481.wrf-816B,481.wrf-816B.champsimtrace.xz,100000001,45586738,2.1936200000000001,52163,31654,20509,0.20508999999999999,0.39317099999999999,52163,31654,20509,0.20508999999999999,0.39317099999999999,3080,0.030800000000000001,0,0,3080,0.030800000000000001,3080,0.0590457,10,0.000191707,17419,0.33393400000000001,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1100B,482.sphinx3-1100B.champsimtrace.xz,100000000,45278851,2.2085400000000002,110725,71969,38756,0.38756000000000002,0.35002,110725,71969,38756,0.38756000000000002,0.35002,20716,0.20716000000000001,0,0,20716,0.20716000000000001,20716,0.18709400000000001,29,0.00026191000000000002,18011,0.162664,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1297B,482.sphinx3-1297B.champsimtrace.xz,100000000,51841123,1.9289700000000001,156662,99791,56871,0.56871000000000005,0.36301699999999998,156662,99791,56871,0.56871000000000005,0.36301699999999998,32450,0.32450000000000001,0,0,32450,0.32450000000000001,32450,0.20713400000000001,0,0,24421,0.15588299999999999,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1395B,482.sphinx3-1395B.champsimtrace.xz,100000003,38549224,2.59409,95651,70874,24777,0.24776999999999999,0.25903500000000002,95651,70874,24777,0.24776999999999999,0.25903500000000002,14403,0.14402999999999999,0,0,14403,0.14402999999999999,14403,0.15057899999999999,0,0,10374,0.108457,0,0,0,0
spec06,482.sphinx3,482.sphinx3-1522B,482.sphinx3-1522B.champsimtrace.xz,100000002,44523579,2.246,141483,101320,40163,0.40162999999999999,0.28387200000000001,141483,101320,40163,0.40162999999999999,0.28387200000000001,22298,0.22298000000000001,0,0,22298,0.22298000000000001,22298,0.15760199999999999,1,7.0679900000000001e-06,17864,0.12626299999999999,0,0,0,0
spec06,482.sphinx3,482.sphinx3-234B,482.sphinx3-234B.champsimtrace.xz,100000001,45304018,2.2073100000000001,139089,98284,40805,0.40805000000000002,0.29337299999999999,139089,98284,40805,0.40805000000000002,0.29337299999999999,20499,0.20499000000000001,0,0,20499,0.20499000000000001,20499,0.14738000000000001,0,0,20306,0.14599300000000001,0,0,0,0
spec06,482.sphinx3,482.sphinx3-417B,482.sphinx3-417B.champsimtrace.xz,100000000,69942026,1.4297599999999999,259717,189368,70349,0.70348999999999995,0.270868,259717,189368,70349,0.70348999999999995,0.270868,35585,0.35585,0,0,35585,0.35585,35585,0.137015,0,0,34764,0.133853,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-127B,483.xalancbmk-127B.champsimtrace.xz,100000000,337727546,0.296097,430942,83116,347826,3.4782600000000001,0.80712899999999999,430942,83116,347826,3.4782600000000001,0.80712899999999999,nan,nan,nan,nan,nan,nan,338771,0.78611699999999995,5308,0.0123172,3747,0.0086949100000000001,0,0,0,0
spec06,483.xalancbmk,483.xalancbmk-716B,483.xalancbmk-716B.champsimtrace.xz,100000003,64060586,1.5610200000000001,906859,818549,88310,0.8831,0.097380099999999997,906859,818549,88310,0.8831,0.097380099999999997,85456,0.85455999999999999,0,0,85456,0.85455999999999999,85456,0.094232999999999997,1406,0.0015504099999999999,1448,0.00159672,0,0,0,0
spec17,600.perlbench_s,600.perlbench_s-570B,600.perlbench_s-570B.champsimtrace.xz,100000000,69087802,1.44743,308058,294890,13168,0.13167999999999999,0.042745199999999997,308058,294890,13168,0.13167999999999999,0.042745199999999997,12296,0.12296,0,0,12296,0.12296,12296,0.039914600000000001,578,0.00187627,294,0.000954366,0,0,0,0
spec17,602.gcc_s,602.gcc_s-1850B,602.gcc_s-1850B.champsimtrace.xz,100000001,53993706,1.8520700000000001,37455,6289,31166,0.31165999999999999,0.83209200000000005,37455,6289,31166,0.31165999999999999,0.83209200000000005,2629,0.026290000000000001,0,0,2629,0.026290000000000001,2629,0.070190900000000001,0,0,28537,0.76190100000000005,0,0,0,0
spec17,602.gcc_s,602.gcc_s-2226B,602.gcc_s-2226B.champsimtrace.xz,100000000,135326311,0.73895500000000003,150466,9828,140638,1.40638,0.93468300000000004,150466,9828,140638,1.40638,0.93468300000000004,nan,nan,nan,nan,nan,nan,21005,0.1396,0,0,119633,0.79508299999999998,0,0,0,0
spec17,602.gcc_s,602.gcc_s-734B,602.gcc_s-734B.champsimtrace.xz,100000001,56882560,1.7580100000000001,164169,133066,31103,0.31102999999999997,0.18945699999999999,164169,133066,31103,0.31102999999999997,0.18945699999999999,14964,0.14964,0,0,14964,0.14964,14964,0.091149999999999995,10,6.0912799999999997e-05,16129,0.098246299999999995,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-1740B,603.bwaves_s-1740B.champsimtrace.xz,100000002,56523690,1.7691699999999999,156735,127046,29689,0.29688999999999999,0.18942200000000001,156735,127046,29689,0.29688999999999999,0.18942200000000001,2879,0.02879,0,0,2879,0.02879,2879,0.018368599999999999,0,0,26810,0.17105300000000001,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-2609B,603.bwaves_s-2609B.champsimtrace.xz,100000002,56540921,1.7686299999999999,64597,34903,29694,0.29693999999999998,0.45968100000000001,64597,34903,29694,0.29693999999999998,0.45968100000000001,3031,0.03031,0,0,3031,0.03031,3031,0.046921699999999997,0,0,26663,0.41275899999999999,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-2931B,603.bwaves_s-2931B.champsimtrace.xz,100000005,65064056,1.53695,127982,106678,21304,0.21304000000000001,0.166461,127982,106678,21304,0.21304000000000001,0.166461,7012,0.070120000000000002,0,0,7012,0.070120000000000002,7012,0.054788999999999997,0,0,14292,0.11167199999999999,0,0,0,0
spec17,603.bwaves_s,603.bwaves_s-891B,603.bwaves_s-891B.champsimtrace.xz,100000001,28899034,3.4603199999999998,24528,176,24352,0.24351999999999999,0.99282499999999996,24528,176,24352,0.24351999999999999,0.99282499999999996,0,0,0,0,0,0,0,0,0,0,24352,0.99282499999999996,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1152B,605.mcf_s-1152B.champsimtrace.xz,100000001,274343276,0.36450700000000003,2960027,2921204,38823,0.38823000000000002,0.0131158,2960027,2921204,38823,0.38823000000000002,0.0131158,12515,0.12515000000000001,0,0,12515,0.12515000000000001,12515,0.004228,0,0,26308,0.0088877599999999998,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1536B,605.mcf_s-1536B.champsimtrace.xz,100000003,199933707,0.500166,2446238,206723,2239515,22.395099999999999,0.91549400000000003,2446238,206723,2239515,22.395099999999999,0.91549400000000003,nan,nan,nan,nan,nan,nan,2238055,0.91489699999999996,0,0,1460,0.00059683499999999999,0,0,0,0
spec17,605.mcf_s,605.mcf_s-1554B,605.mcf_s-1554B.champsimtrace.xz,100000003,140646591,0.71100200000000002,397295,389228,8067,0.080670000000000006,0.020304800000000001,397295,389228,8067,0.080670000000000006,0.020304800000000001,747,0.0074700000000000001,0,0,747,0.0074700000000000001,747,0.00188021,0,0,7320,0.018424599999999999,0,0,0,0
