dataset,workload,trace_tag,instructions,cycles,ipc,stlb_access,stlb_hit,stlb_miss,stlb_mpki,stlb_miss_rate,demand_data_miss,demand_data_miss_rate,demand_instruction_miss,demand_instruction_miss_rate,l1d_prefetch_miss,l1d_prefetch_miss_rate,l1i_prefetch_miss,l1i_prefetch_miss_rate,other_miss,other_miss_rate
spec17,605.mcf_s,605.mcf_s-472B,100000000,159942698,0.625224,354240,223749,130491,1.30491,0.368369,13701,0.0386772,0,0,116790,0.329692,0,0,0,0
spec17,605.mcf_s,605.mcf_s-782B,100000001,655301985,0.152601,8598209,8482559,115650,1.1565,0.0134505,29848,0.00347142,0,0,85802,0.00997905,0,0,0,0
spec17,605.mcf_s,605.mcf_s-994B,100000000,241837399,0.413501,1628658,820626,808032,8.08032,0.496134,806084,0.494938,0,0,1948,0.00119608,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-141B,100000002,213777625,0.467776,2274740,1776268,498472,4.98472,0.219134,481974,0.211881,1723,0.000757449,14775,0.00649525,0,0,0,0
spec17,620.omnetpp_s,620.omnetpp_s-874B,100000000,194631732,0.513791,2099443,1659427,440016,4.40016,0.209587,415976,0.198136,2226,0.00106028,21814,0.0103904,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-10B,100000004,147623908,0.677397,725736,243757,481979,4.81979,0.664124,472815,0.651497,5174,0.00712931,3990,0.00549787,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-592B,100000000,84808837,1.17912,2380978,2247073,133905,1.33905,0.0562395,126428,0.0530992,1785,0.000749692,5692,0.00239061,0,0,0,0
spec17,623.xalancbmk_s,623.xalancbmk_s-700B,100000000,96529033,1.03596,3120236,2938930,181306,1.81306,0.0581065,174707,0.0559916,1766,0.000565983,4833,0.00154892,0,0,0,0
spec17,649.fotonik3d_s,649.fotonik3d_s-10881B,100000005,85803110,1.16546,727798,388284,339514,3.39514,0.466495,1262,0.001734,0,0,338252,0.464761,0,0,0,0
gap,bc,bc.kron-2608B,100000004,208337286,0.479991,1850929,34976,1815953,18.1595,0.981104,1806585,0.976042,0,0,9368,0.00506124,0,0,0,0
