trace_tag,dataset,workload,discard_stlb_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_translation_pct_of_requested,too_early_among_useless_pct,pollution_per_fill_pct,high_need_low_coverage_score
bfs.twitter-408B,gap,bfs,1.74957,0.10173928450990814,14.795635499008327,87.0835,0.11714393269503176,0.16869225165816815,38.38772323978523,0.03703703703703704
bfs.road-19B,gap,bfs,2.27976,0.13904972453240694,0.6899849106923536,75.6731,0.030193015224941458,4.964850615114235,72.96567682221365,0.03673094582185491
bfs.urand-36B,gap,bfs,6.67365,0.4932832857581683,6.528960913443169,93.2379,0.11283561472791336,0.49380301659862613,84.44082445304193,0.03428221610039792
bfs.kron-128B,gap,bfs,1.09597,0.021898409628000767,22.8874877961988,86.76559999999999,0.11256787269652425,0.0,20.973528942752353,0.022854810733598612
bfs.urand-60B,gap,bfs,6.41818,0.7508359067523815,12.820456889647843,61.5741,0.7185948210420015,0.1804199562385638,89.1852476798843,0.02112029384756658
bfs.urand-410B,gap,bfs,4.52912,0.87566679619882,20.730958773448265,51.72560000000001,1.090052313483699,0.08423946175417595,70.93061527844137,0.017957351290684615
cc.web-101B,gap,cc,1.33716,0.43300726913757515,79.07879386161716,78.9992,0.7121340434423765,0.03514637992286794,1.4935807204330533,0.01530456075910621
cc.web-99B,gap,cc,1.29016,0.35964531530972904,78.68481428660012,81.6682,0.7417833943117694,0.07714904602237323,0.908759734953282,0.01305989184777064
xs.XL64hash-49B,xsbench,xsbench_XL64hash,2.78306,0.8788887052381191,1.8537149756023945,86.9868,0.03524654893327098,15.918958031837915,51.82341650671785,0.01142740536679931
cc.web-34B,gap,cc,1.28994,0.513202164441757,77.79276555498706,81.55,0.7607286002931708,0.10728753058195965,2.001115604518198,0.009284766860524433
bfs.twitter-160B,gap,bfs,2.71269,1.353269264088414,12.110856751047853,51.1452,0.6907764632845864,0.1801956409816372,59.16809028317026,0.008570554025099472
cc.web-13B,gap,cc,1.11774,0.6727861577826686,68.44257161772863,84.8468,0.6107630321919973,0.09761116460671934,2.9818580776615335,0.005101520253035403
xs.XXL100hash-94B,xsbench,xsbench_XXL100hash,1.30941,2.026867062264684,4.599781581017405,85.78099999999999,0.03601370724459167,9.460654288240496,35.90210021498264,0.004591368227731864
xs.XXL100nuclide-30B,xsbench,xsbench_XXL100nuclide,1.28935,2.0506456741769106,4.11292511730717,86.0959,0.03148443562798447,10.943963896201579,36.20592117669244,0.0024487297214569968
xs.XL64unionized-28B,xsbench,xsbench_XL64unionized,1.02862,2.4907157162022906,4.731582119733234,85.9183,0.030105889892350676,7.6923076923076925,38.798701298701296,0.0004081216202428328
xs.XL100unionized-28B,xsbench,xsbench_XL100unionized,1.02857,2.480142333531019,4.702645420340862,86.0771,0.028781396617865048,9.986916703009157,40.21469859620149,0.00030609121518212405
xs.XL100hash-28B,xsbench,xsbench_XL100hash,1.029,2.501457725947522,4.699708454810496,84.1102,0.028467133145750317,10.14808362369338,39.67145790554415,0.0003060912151821229
bfs.twitter-44B,gap,bfs,2.87285,2.8101014671841553,9.125432932453835,70.8587,0.43295273976847726,4.821478215973629,91.98520345252774,0.0
