trace_tag,dataset,workload,instructions,discard_ipc,translation_only_ipc,translation_only_vs_discard_ipc_pct,vberti_end_to_end_issued,vberti_end_to_end_useful,vberti_end_to_end_accuracy_pct,discard_stlb_data_demand_miss,translation_only_stlb_data_demand_miss,discard_stlb_data_demand_mpki,translation_only_stlb_data_demand_mpki,demand_miss_reduction_count,demand_miss_reduction_pct,cross_requested,cross_in_pq,pq_drop_rate_pct,cross_pq_drop_rate_pct,dtlb_cross_lookups,dtlb_cross_misses,dtlb_cross_fills,dtlb_cross_useful,dtlb_cross_late,dtlb_cross_pollution_evict,stlb_cross_lookups,stlb_cross_misses,stlb_cross_fills,stlb_cross_useful,stlb_cross_useless,stlb_cross_late,stlb_cross_too_early,stlb_cross_pollution_evict,tlb_cross_fills,tlb_cross_useful,tlb_cross_useless,tlb_cross_late,tlb_cross_too_early,tlb_cross_pollution_evict_sum,cross_requested_mpki,stlb_cross_lookup_mpki,stlb_cross_page_walk_mpki,stlb_cross_useful_mpki,tlb_cross_useful_mpki,pq_survival_pct,reach_dtlb_pct_of_requested,reach_stlb_pct_of_requested,trigger_page_walk_pct_of_requested,useful_pct_of_requested,dtlb_miss_pct_of_lookup,stlb_miss_pct_of_lookup,combined_fill_productivity_pct,translation_only_requested,translation_only_issued,translation_only_dropped_after_translation,stlb_accuracy_pct,stlb_coverage_pct_logged,stlb_too_early_among_useless_pct,stlb_late_among_useful_pct,dtlb_late_among_useful_pct,stlb_pollution_candidate_among_cross_fill_pct,tlb_accuracy_pct,tlb_coverage_pct_logged,useful_vs_discard_miss_pct,net_reduction_per_useful_pct,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,late_per_fill_pct
pr.twitter-2741B,gap,pr,100000003.0,0.0321,0.03215,0.15576323987538387,22233338.0,285053.0,1.2820971821685074,14199963.0,14179181.0,141.99962574001123,141.7918057462458,20782.0,0.14635249401706188,906365.0,726295.0,5.490670000000001,19.8673,575627.0,74336.0,31110.0,20981.0,253.0,20376.0,31363.0,22934.0,22934.0,4095.0,18839.0,0.0,3343.0,22733.0,54044.0,20926.0,10375.0,253.0,1253.0,43109.0,9.063649728090509,0.3136299905911003,0.22933999311980022,0.04094999877150004,0.2092599937222002,80.13272798486261,63.50940294472978,3.460305726721575,2.530327186067423,2.308782885482118,12.913918214399256,73.12438223384243,38.72030197616756,906365.0,726295.0,726295.0,13.056799999999999,0.028872000000000002,17.745103243271938,0.0,1.2058529145417283,99.12357198918636,3.6353400000000002,0.147365,0.14736658116644388,99.31186084297046,12.07710843373494,79.76648656650137,0.4681370734956702
pr.twitter-3197B,gap,pr,100000001.0,0.03152,0.03153,0.031725888324873885,22267136.0,261775.0,1.1756114481898345,14407046.0,14386212.0,144.07045855929542,143.86211856137882,20834.0,0.14460979717840838,874481.0,696397.0,5.33099,20.3645,555199.0,72985.0,31152.0,21082.0,266.0,20307.0,31418.0,23696.0,23696.0,3776.0,19920.0,0.0,3830.0,23477.0,54848.0,20956.0,10319.0,248.0,1368.0,43784.0,8.7448099125519,0.31417999685820003,0.23695999763040002,0.0377599996224,0.20955999790440002,79.63546377794371,63.48897231615095,3.592759591117474,2.7097215376892123,2.3963928318625562,13.14573693396422,75.42173276465721,38.207409568261376,874481.0,696397.0,696397.0,12.0186,0.0262405,19.22690763052209,0.0,1.2617398728773361,99.07579338284943,3.7745,0.145455,0.14545660505283317,99.4178278297385,13.257098556061633,79.82788798133022,0.4521586931155192
pr.twitter-833B,gap,pr,100000001.0,0.02817,0.02819,0.07099751508696794,21166003.0,176675.0,0.8347112111814403,15720669.0,15700007.0,157.2066884279331,157.00006842999932,20662.0,0.13143206564555235,782686.0,595770.0,5.38703,23.8814,495816.0,61693.0,30252.0,20882.0,149.0,19201.0,30401.0,22618.0,22618.0,2978.0,19640.0,0.0,2662.0,22452.0,52870.0,20731.0,9510.0,135.0,838.0,41653.0,7.826859921731401,0.30400999695990005,0.22617999773820002,0.029779999702200004,0.20730999792690002,76.118647835786,63.34800929108225,3.8841885507087137,2.8897923305131306,2.6486994784626274,12.442720686706359,74.3988684582744,39.21127293361074,782686.0,595770.0,595770.0,9.795729999999999,0.018964500000000002,13.553971486761709,0.0,0.7135331864763912,99.26607127066937,4.18119,0.13187,0.1318709782643474,99.6671651150451,8.811777076761304,78.78380934367316,0.25534329487421975
pr.urand-2209B,gap,pr,100000003.0,0.02153,0.02153,0.0,21052376.0,542263.0,2.5757805199755124,17744219.0,17725735.0,177.44218467673446,177.25734468227967,18484.0,0.10416913812887453,817161.0,631027.0,6.311940000000001,22.778100000000002,512213.0,67621.0,32183.0,18310.0,177.0,8228.0,32360.0,18520.0,18520.0,4371.0,14149.0,0.0,75.0,18375.0,50703.0,18310.0,14050.0,177.0,204.0,26603.0,8.171609754851707,0.3235999902920003,0.18519999444400018,0.04370999868870004,0.18309999450700015,77.22186937457856,62.682017374789055,3.960051935909815,2.266383246385963,2.2406845162703553,13.201734434698064,57.231149567367126,36.1122616018776,817161.0,631027.0,631027.0,13.5074,0.024653,0.5300727966640751,0.0,0.9666848716548335,99.2170626349892,3.5746800000000003,0.10319,0.10318853706663561,100.95030038230475,1.4519572953736655,52.46829576159202,0.3490917697177682
sssp.kron-246B,gap,sssp,100000004.0,0.1816,0.1818,0.11013215859030367,11800924.0,177475.0,1.5039076601120387,7470223.0,7462185.0,74.70222701191092,74.62184701512612,8038.0,0.10760053615534637,2358623.0,683293.0,55.052800000000005,71.03,496255.0,106138.0,35562.0,8413.0,83.0,5121.0,35645.0,28540.0,28540.0,362.0,28178.0,0.0,4790.0,24745.0,64102.0,8406.0,27211.0,83.0,436.0,29866.0,23.586229056550838,0.3564499857420006,0.28539998858400045,0.003619999855200006,0.08405999663760014,28.969996476757835,21.040030560203984,1.5112631395521878,1.2100280545046833,0.3563943877423395,21.387794581414795,80.06733062140553,13.113475398583507,2358623.0,683293.0,683293.0,1.01557,0.00485089,16.999077294343103,0.0,0.9865684060382742,86.70287316047653,1.69389,0.112521,0.11252676124929603,95.62217463716392,1.6022931902539415,46.59137000405604,0.129481139434027
sssp.road-66B,gap,sssp,100000005.0,0.3501,0.3496,-0.142816338189089,30859021.0,3335.0,0.010807212581371264,444583.0,443780.0,4.445829777708511,4.437799778110011,803.0,0.18061869212273074,5911295.0,1433307.0,57.0646,75.75309999999999,917205.0,5586.0,3341.0,2570.0,0.0,3248.0,3341.0,1263.0,1263.0,403.0,860.0,0.0,61.0,1240.0,4604.0,208.0,346.0,0.0,82.0,4488.0,59.112947044352644,0.03340999832950008,0.012629999368500032,0.00402999979850001,0.002079999896000005,24.24692051403288,15.516143247799342,0.05651891844342061,0.021365876681843827,0.0035186875295514773,0.609024154905392,37.803052978150255,4.5178105994787146,5911295.0,1433307.0,1433307.0,12.062299999999999,0.0905083,7.093023255813953,0.0,0.0,98.17893903404592,0.022677600000000003,0.0467344,0.046785414646983804,386.05769230769226,23.699421965317917,97.48045178105995,0.0
sssp.twitter-1116B,gap,sssp,100000005.0,0.2852,0.2838,-0.4908835904628428,79672554.0,509452.0,0.6394322441326533,2172144.0,2100639.0,21.721438913928054,21.006388949680552,71505.0,3.291908823724394,42241997.0,10918137.0,64.9756,74.1534,9262006.0,200677.0,95628.0,72448.0,1354.0,68036.0,96982.0,81163.0,81163.0,253.0,80910.0,0.0,9227.0,16449.0,176791.0,71784.0,24316.0,1354.0,1335.0,84485.0,422.41994887900256,0.9698199515090025,0.811629959418502,0.0025299998735000065,0.7178399641080018,25.8466402523536,21.926060929363732,0.22958668360305032,0.1921381699828254,0.1699351477156726,2.166668862015421,83.68872574292136,40.603876894185795,42241997.0,10918137.0,10918137.0,0.260873,0.0120425,11.404029168211594,0.0,1.8689266784452299,20.266623954264876,0.7750370000000001,3.3043299999999998,3.3047532760258984,99.61133400200602,5.4902122059549265,47.7880661345883,0.7658760909774819
sssp.twitter-792B,gap,sssp,100000001.0,0.1025,0.1025,0.0,69362448.0,55176.0,0.0795473654563057,6064962.0,6056921.0,60.649619393503805,60.569209394307904,8041.0,0.13258120990700353,15320988.0,3316829.0,61.924800000000005,78.3511,2152339.0,39231.0,11509.0,8309.0,10.0,3495.0,11519.0,10500.0,10500.0,987.0,9513.0,0.0,863.0,9006.0,22009.0,5368.0,2555.0,8.0,121.0,12501.0,153.2098784679012,0.11518999884810001,0.10499999895,0.0098699999013,0.053679999463200005,21.648923685600433,14.048304195525771,0.07518444632944037,0.06853343922728744,0.035036904930674184,1.8227147303468458,91.15374598489451,24.39002226361943,15320988.0,3316829.0,3316829.0,8.56845,0.0162927,9.071796489015032,0.0,0.12035142616440005,85.77142857142857,0.24940299999999999,0.0885469,0.08850838636746611,149.79508196721312,4.735812133072407,56.79949111727021,0.03634876641373984
sssp.twitter-900B,gap,sssp,100000000.0,0.3305,0.3321,0.48411497730711517,26309412.0,172072.0,0.6540321007554255,6406756.0,6392721.0,64.06756,63.92721,14035.0,0.21906562385082248,12418411.0,1798838.0,73.0678,85.5147,1380175.0,107266.0,57648.0,16397.0,133.0,12471.0,57781.0,54132.0,54132.0,1126.0,53006.0,0.0,30800.0,48121.0,111780.0,15721.0,40858.0,133.0,6786.0,60592.0,124.18411,0.57781,0.54132,0.01126,0.15721,14.485250971319921,11.113942033324554,0.4652849708388617,0.4359011793054683,0.1265942961623673,7.771912982049378,93.68477527214829,14.064233315441044,12418411.0,1798838.0,1798838.0,1.94874,0.0176107,58.10662943817682,0.0,0.8111239860950173,88.89566245474026,1.1390600000000002,0.245317,0.24538159405477594,89.2754913809554,16.608742473934115,54.20647700840937,0.11898371801753445
sssp.urand-3381B,gap,sssp,100000000.0,0.1678,0.1685,0.41716328963050664,9557394.0,185941.0,1.9455198770710929,7644609.0,7638397.0,76.44609,76.38397,6212.0,0.08125987869359963,708966.0,440245.0,33.5995,37.9032,329920.0,85451.0,23764.0,6320.0,121.0,3300.0,23885.0,17835.0,17835.0,307.0,17528.0,0.0,1242.0,16340.0,41599.0,6320.0,17565.0,121.0,142.0,19640.0,7.08966,0.23885,0.17835,0.00307,0.0632,62.096771918540526,46.535376872797855,3.368990896601529,2.5156354465517388,0.8914390817049055,25.900521338506305,74.67029516432908,15.192672900790885,708966.0,440245.0,440245.0,1.28533,0.00401901,7.085805568233683,0.0,1.9145569620253167,91.61760583123073,1.91562,0.0826715,0.08267263897996614,98.29113924050633,0.8084258468545402,47.212673381571676,0.2908723767398255
