dataset,workload,trace_tag,num_traces,nopref_ipc,permit_ipc,discard_ipc,permit_vs_nopref_speedup,permit_vs_nopref_speedup_pct,discard_vs_nopref_speedup,discard_vs_nopref_speedup_pct,permit_vs_discard_speedup,permit_vs_discard_speedup_pct
gap,pr,,8,0.0294928537935,0.0295671005075,0.029531027512,1.0025174476,0.251744760191,1.0012943379,0.12943379039,1.00122152863,0.122152862721
gap,sssp,,10,0.209879710456,0.213769490662,0.212408479206,1.01853337894,1.85333789381,1.01204865751,1.20486575115,1.00640751942,0.640751941962
gap,tc,,6,0.154078087587,0.156622700079,0.15668704459,1.01651508357,1.65150835656,1.01693269331,1.6932693309,0.999589343773,-0.0410656227375
ligra,ligra_BC,,1,0.5262,0.5594,0.5517,1.06309388065,6.30938806537,1.04846066135,4.84606613455,1.01395686061,1.39568606127
ligra,ligra_BFS,,1,0.5344,0.6227,0.6027,1.16523203593,16.5232035928,1.12780688623,12.7806886228,1.03318400531,3.31840053094
ligra,ligra_BellmanFord,,1,0.3586,0.4017,0.3928,1.12018962632,12.0189626325,1.09537088678,9.53708867819,1.02265784114,2.26578411405
ligra,ligra_CF,,1,1.037,1.073,1.052,1.03471552555,3.47155255545,1.01446480231,1.44648023144,1.01996197719,1.99619771863
ligra,ligra_Components,,1,0.4504,0.4534,0.4503,1.006660746,0.666074600355,0.999777975133,-0.0222024866785,1.00688429936,0.688429935599
ligra,ligra_Components-Shortcut,,1,0.467,0.4676,0.4643,1.00128479657,0.128479657388,0.994218415418,-0.578158458244,1.00710747362,0.71074736162
ligra,ligra_PageRank,,3,0.583037667394,0.635896776776,0.625399717132,1.09066156843,9.06615684343,1.07265748357,7.26574835684,1.01678456091,1.67845609075
ligra,ligra_PageRankDelta,,3,0.598357242201,0.657513993227,0.64286517919,1.0988652712,9.88652712019,1.07438355191,7.43835519142,1.0227867592,2.27867592016
ligra,ligra_Radii,,3,0.268511376067,0.276525188815,0.27452039498,1.0298453379,2.98453378972,1.02237901053,2.23790105317,1.00730289578,0.73028957838
qmm,qmm_fp,,3,0.523491873522,0.641058140191,0.614198860601,1.22458088199,22.4580881988,1.17327296118,17.327296118,1.04373059169,4.37305916913
qmm,qmm_int,,8,0.415730438114,0.477745004451,0.45602491765,1.14917013683,14.9170136827,1.09692453533,9.69245353267,1.04762916665,4.76291666546
qmm,qmm_srv,,19,1.71540250446,1.71668862674,1.71554714547,1.00074974956,0.0749749561129,1.00008431899,0.00843189922952,1.00066537447,0.0665374465129
parsec,parsec_canneal,,6,0.401999150091,0.402607543083,0.402579583239,1.0015134186,0.151341860409,1.00144386661,0.144386660666,1.00006945172,0.00694517184141
xsbench,xsbench_XL100hash,,2,0.325562897149,0.334293568589,0.332885205439,1.02681715735,2.68171573499,1.02249122475,2.24912247494,1.00423077724,0.423077723878
xsbench,xsbench_XL100nuclide,,4,0.15504995969,0.154949959664,0.154974929444,0.999355046424,-0.0644953576346,0.999516089866,-0.0483910134422,0.99983887859,-0.0161121410208
xsbench,xsbench_XL100unionized,,1,0.4906,0.5162,0.5121,1.05218100285,5.21810028536,1.04382388912,4.38238891154,1.00800624878,0.800624877954
xsbench,xsbench_XL64hash,,2,0.295201524386,0.300492262796,0.299765908669,1.01792246304,1.79224630369,1.01546192653,1.54619265328,1.00242307116,0.242307115591
xsbench,xsbench_XL64nuclide,,1,0.155,0.1551,0.155,1.00064516129,0.0645161290322,1,0,1.00064516129,0.0645161290322
xsbench,xsbench_XL64unionized,,1,0.491,0.5159,0.5123,1.05071283096,5.07128309572,1.0433808554,4.33808553971,1.00702713254,0.702713253953
xsbench,xsbench_XXL100hash,,3,0.264295562497,0.269633189602,0.269026111827,1.02019567432,2.01956743239,1.01789870888,1.78987088764,1.00225657566,0.225657565678
xsbench,xsbench_XXL100nuclide,,7,0.173207852173,0.17460059606,0.17442772791,1.00804088192,0.804088192021,1.00704284316,0.704284316089,1.00099105889,0.0991058887011
xsbench,xsbench_XXL100unionized,,1,0.3264,0.3354,0.3341,1.02757352941,2.75735294118,1.02359068627,2.35906862745,1.00389105058,0.389105058366
xsbench,xsbench_XXL64hash,,2,0.253317409587,0.256886784401,0.256901537559,1.01409052311,1.409052311,1.01414876292,1.41487629186,0.999942572716,-0.00574272835073
xsbench,xsbench_XXL64nuclide,,3,0.189663815898,0.191271511848,0.191125044302,1.00847655597,0.847655596571,1.00770430774,0.770430773782,1.00076634408,0.0766344077285
xsbench,xsbench_XXL64unionized,,1,0.3261,0.3347,0.3339,1.02637227844,2.63722784422,1.02391904324,2.39190432383,1.00239592692,0.239592692423
