dataset,workload,num_traces,permit_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki,tlb_rescue_dtlb_real_demand_mpki,cppb_tlb_rescue_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki_reduction_pct,tlb_rescue_dtlb_real_demand_mpki_reduction_pct,cppb_tlb_rescue_dtlb_real_demand_mpki_reduction_pct
spec17,623.xalancbmk_s,3,31.964303135719074,32.078076469153075,32.020985951641066,32.133613086324011,-0.35593872624384293,-0.1773316179655815,-0.52968447297616628
spec17,649.fotonik3d_s,1,11.604289419785529,11.502279539908818,17.958689102065545,17.485599650288005,0.87907045564360464,-54.759058934238979,-50.682209118937813
gap,bc,11,29.525676828028349,29.527774775763131,29.731805731246016,29.729347432256759,-0.0071055026003463695,-0.69813438797106109,-0.68980841799051174
gap,bfs,18,32.165296747464197,32.179705054642476,33.136502175297579,33.184291202983466,-0.04479457252144492,-3.0194200770429669,-3.167993329953056
gap,cc,18,19.556877513036017,19.553722999986213,20.514970224438557,20.519257399050268,0.016129942255360685,-4.8990065554376239,-4.9209281255290227
gap,pr,8,162.06344634104852,162.07927280606583,162.22441031041916,162.28457362432334,-0.009765598211464166,-0.09932157621275195,-0.13644488517754461
gap,sssp,10,83.418625432656853,83.421630627875658,84.288867777930506,84.31416145056734,-0.0036025470369738244,-1.0432230700998524,-1.0735444431812624
gap,tc,6,20.269396539389103,20.260146539385101,20.398456539406883,20.377948028518791,0.045635300419655245,-0.63672344545127046,-0.53554376381528268
ligra,ligra_BC,1,7.6072997717810065,7.5990597720282071,9.947459701576209,9.9429197017124089,0.10831701129178084,-30.762031206867093,-30.702351688509722
ligra,ligra_BFS,1,7.6620600000000003,7.6679599999999999,10.278090000000001,10.33412,-0.07700279037230473,-34.142645711466635,-34.873911193595461
ligra,ligra_BellmanFord,1,18.477,18.453179630936408,18.951159810488402,18.926519621469609,0.12891902940733724,-2.5662164338821292,-2.4328604290177358
ligra,ligra_CF,1,19.95191960096161,19.743909605121807,19.943029601139408,19.686209606275806,1.0425563053580889,0.044557115305199346,1.33175153067977
ligra,ligra_Components,1,71.727270000000004,72.89137708434491,72.322180000000003,72.528379999999999,-1.6229630436860321,-0.829405608215672,-1.1168834391717342
ligra,ligra_Components-Shortcut,1,77.627557671173264,77.678187669654363,78.152428436951425,78.310299999999998,-0.065221681578031543,-0.67613973893330126,-0.87951025294239482
ligra,ligra_PageRank,3,51.701968865271333,51.722502404083521,53.362985834131941,53.491472235291155,-0.039715197047329731,-3.2126764324759138,-3.4611899881086483
ligra,ligra_PageRankDelta,3,9.8615098625097719,9.8820531750386404,11.451613030618944,11.467683107038944,-0.20831812587813747,-16.124337857777981,-16.287295423546809
ligra,ligra_Radii,3,36.517916557041602,36.525455786571911,37.18498281635388,37.299802738624649,-0.020645289329501715,-1.8266821390818144,-2.141102930562111
qmm,qmm_fp,3,15.989143136007803,15.782989746374206,16.648449491113219,16.491616372625671,1.2893335676590234,-4.1234627115235956,-3.1425901459740668
qmm,qmm_int,8,31.323145820255199,31.166890785934548,32.045158232539478,31.831114653320942,0.49884847204462179,-2.3050443797295372,-1.6217043970636613
qmm,qmm_srv,19,19.629574768153251,19.694461099380018,19.657115329393111,19.721588431447206,-0.33055393197838345,-0.14030136447245045,-0.46875016081977527
parsec,parsec_canneal,6,19.964121206298831,19.962731206321962,19.96551620626536,19.964401206288144,0.0069624901717690868,-0.0069875350490633537,-0.0014025159756458905
xsbench,xsbench_XL100hash,2,22.892244433524613,22.896674433402815,22.946899595907709,22.955104431030712,-0.019351531437061809,-0.23874968896915316,-0.27459080165177507
xsbench,xsbench_XL100nuclide,4,40.206312298818752,40.214152399689652,40.210537399692953,40.216724899666779,-0.019499676599621374,-0.010508551102117458,-0.025897925605899985
xsbench,xsbench_XL100unionized,1,10.848609674541709,10.84795967456121,10.95395967138121,10.973629780527405,0.0059915509913244236,-0.97109214913246866,-1.1524067114247805
xsbench,xsbench_XL64hash,2,26.97980944673327,26.973069635784157,27.047514824676554,27.060669824732855,0.024980943480790163,-0.25094831776686366,-0.29970700185717458
xsbench,xsbench_XL64nuclide,1,40.189979196200419,40.20017,40.200388793988338,40.206688793799337,-0.02535657893683041,-0.025900978293869059,-0.04157652711722637
xsbench,xsbench_XL64unionized,1,10.849970000000001,10.848089891519102,10.95149,10.977279670681609,0.017328236676217301,-0.93567078987313312,-1.1733642644321529
xsbench,xsbench_XXL100hash,3,26.283412654771752,26.281675951507452,26.333399321455516,26.352642617412386,0.0066076018632399425,-0.19018331957243451,-0.26339792153309283
