dataset,workload,trace_tag,permit_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki,tlb_rescue_dtlb_real_demand_mpki,cppb_tlb_rescue_dtlb_real_demand_mpki,cppb_dtlb_real_demand_mpki_reduction_pct,tlb_rescue_dtlb_real_demand_mpki_reduction_pct,cppb_tlb_rescue_dtlb_real_demand_mpki_reduction_pct
gap,bc,bc.kron-2608B,19.576559216937632,19.57873921685043,19.581019216759231,19.583349216666033,-0.011135766447201156,-0.022782347869076958,-0.034684336778267877
gap,bc,bc.kron-5154B,3.4443099311138012,3.4430599311388015,3.4445999311080016,3.4443899311122013,0.036291739129168388,-0.0084196834779781682,-0.0023226713042667768
gap,bc,bc.road-131B,18.89551924417923,18.90035924398563,19.25608922975643,19.273759229049631,-0.025614537202467424,-1.9082300989864187,-2.0017443288144587
gap,bc,bc.road-174B,22.412359327629222,22.420259999999999,22.777979999999999,22.787420000000001,-0.035251408632541725,-1.6313350461057974,-1.6734546635097658
gap,bc,bc.road-79B,24.297969999999999,24.301659999999998,24.681129259566124,24.674709259758721,-0.015186453847793047,-1.5769188107735976,-1.5504968512131789
gap,bc,bc.road-95B,18.60313,18.60961,18.966100000000001,18.978819999999999,-0.03483284802072717,-1.9511232787170707,-2.0194988692762816
gap,bc,bc.twitter-1658B,20.635349587293007,20.602989587940208,20.653769586924607,20.62700958745981,0.15681827543511107,-0.089264296462143733,0.040416082111505158
gap,bc,bc.twitter-2320B,22.611528869423555,22.622729321318122,22.662469320125922,22.654289320371319,-0.049534252899241515,-0.22528530024013005,-0.18910906553331053
gap,bc,bc.twitter-309B,46.896979999999999,46.921689999999998,47.146599057068016,47.15945,-0.052689959993146296,-0.53227106962541182,-0.55967356533406232
gap,bc,bc.twitter-876B,73.995509999999996,73.991676300416188,74.467978510640435,74.42669627866519,0.0051809894732857131,-0.63850970233252369,-0.58271951725881177
gap,bc,bc.urand-3004B,53.413228931735418,53.412748931745021,53.412128931757422,53.412928931741419,0.0008986537604949163,0.0020594148678054758,0.00056165860030654713
gap,bfs,bfs.kron-128B,1.9448899611022008,1.9391999612160007,3.0577699388446011,3.0596599388068011,0.29256153304300092,-57.220716852881125,-57.317894585297879
gap,bfs,bfs.kron-542B,36.806299631937001,36.810519631894806,37.746589622534103,37.745579622544206,-0.011465428472856587,-2.5546985162866243,-2.5519544208464362
gap,bfs,bfs.road-112B,16.823119999999999,16.82741,17.310289999999998,17.30555,-0.02550062057455893,-2.8958362063636223,-2.8676606955190254
gap,bfs,bfs.road-128B,19.493089999999999,19.494119999999999,19.984780000000001,19.987110000000001,-0.0052839236878376994,-2.5223810078340625,-2.5343339614191551
gap,bfs,bfs.road-140B,17.548459999999999,17.554860000000001,18.034699098265044,18.033769278649228,-0.036470436722102484,-2.7708362914184326,-2.7655377090025413
gap,bfs,bfs.road-19B,16.382860000000001,16.37839,16.873830000000002,16.866559325337626,0.027284613309286332,-2.9968515875738566,-2.9524718232202707
gap,bfs,bfs.twitter-10B,5.4687997812480091,5.4675497812980085,7.0502397179904115,7.0211897191524111,0.022856933879478181,-28.917495611468681,-28.386300468109994
gap,bfs,bfs.twitter-160B,38.908239999999999,38.86148,38.867910000000002,38.904310000000002,0.1201801983333084,0.10365413598764084,0.010100688183267703
gap,bfs,bfs.twitter-163B,6.2082898137513052,6.2093398137198053,7.5258197742254067,7.5302197740934069,-0.016912869727403468,-21.222107859007888,-21.292980836913245
gap,bfs,bfs.twitter-242B,8.9138899108611014,8.9144999108550014,9.6827899031721003,9.6841399031586004,-0.0068432524969352926,-8.6258636801665567,-8.6410085832335781
gap,bfs,bfs.twitter-408B,7.9852998402940036,7.9768798404624031,10.139719797205604,10.103959797920805,0.10544375289595065,-26.979825429226189,-26.532002554694255
gap,bfs,bfs.twitter-44B,72.373466381326679,72.554506372274687,73.44073632796318,73.80589630970519,-0.25014691156857172,-1.4746702071905649,-1.9792197334189021
gap,bfs,bfs.urand-118B,49.064689999999999,49.092419999999997,50.13402,50.3005,-0.056517222466911932,-2.1794288316098642,-2.5187359789698105
gap,bfs,bfs.urand-161B,70.953988580920225,70.975477870735659,71.442596427870185,71.524428569511429,-0.030286232310849925,-0.68862632914952204,-0.80395760689426776
gap,bfs,bfs.urand-356B,48.749598537512043,48.775219999999997,49.831620000000001,50.003439999999998,-0.052557278945064567,-2.2195494833775031,-2.5720036679340863
gap,bfs,bfs.urand-36B,40.451159595488406,40.468768381249262,43.392549132149014,43.431640000000002,-0.043530978930994557,-7.2714591276850982,-7.36809632731521
gap,bfs,bfs.urand-410B,58.008539419914605,58.014109419858904,58.486319415136805,58.517729414822703,-0.0096020344590552753,-0.82363734719059778,-0.87778454689602103
gap,bfs,bfs.urand-60B,62.890659999999997,62.919939999999997,63.45476,63.49156,-0.046556992723556512,-0.89695353809293721,-0.95546779124278114
gap,cc,cc.kron-10B,17.303669653926608,17.30855,17.457719825422803,17.462839126858043,-0.028204110289897777,-0.89027457514618824,-0.91985963737648557
gap,cc,cc.kron-17B,19.604959215801632,19.605709215771633,19.677289803227101,19.680869803191303,-0.0038255625107064262,-0.36894025960110266,-0.38720094520006132
gap,cc,cc.kron-78B,19.613359803866402,19.613340000000001,19.687749606245006,19.687799606244006,0.00010097131036834739,-0.37928128134343542,-0.37953620961428403
gap,cc,cc.kron-82B,37.331569999999999,37.333030000000001,37.490989999999996,37.493450000000003,-0.003910899005865609,-0.42703802706394178,-0.43362762401903954
gap,cc,cc.kron-99B,17.342499826575001,17.342099653158005,17.497779825022203,17.507839649843206,0.0023074725154836884,-0.89537263946952717,-0.95337941428055295
gap,cc,cc.twitter-10B,24.097719759022802,24.097819759021803,24.364740000000001,24.367549756324504,-0.00041497701857018399,-1.1080726460735768,-1.1197324892147531
gap,cc,cc.twitter-15B,22.353560000000002,22.357579999999999,23.184109072635636,23.194029072238838,-0.017983712661417961,-3.715511411317185,-3.7598891283483926
