dataset,workload,num_traces,permit_ipc,cppb_ipc,cppb_ipc_speedup,cppb_ipc_speedup_pct,permit_stlb_demand_mpki,cppb_stlb_demand_mpki,cppb_stlb_pb_demand_mpki,stlb_demand_mpki_reduction,stlb_demand_mpki_reduction_pct,stlb_pb_demand_mpki_reduction,stlb_pb_demand_mpki_reduction_pct
ligra,ligra_BC,1,0.55940900000000005,0.55981000000000003,1.0007168279380561,0.071682793805605272,0.73196997804090069,0.70442997886710068,0.64721998058340058,0.027539999173800012,3.7624492807082244,0.084749997457500115,11.578343374728473
ligra,ligra_BFS,1,0.62271900000000002,0.62368299999999999,1.0015480497624127,0.15480497624127398,0.77446999999999999,0.77952999999999995,0.71735000000000004,-0.0050599999999999534,-0.6533500329257258,0.057119999999999949,7.3753663795886109
ligra,ligra_BellmanFord,1,0.40173300000000001,0.40222200000000002,1.001217226366766,0.12172263667660221,5.91709,5.7581698848366019,5.7495498850090021,0.1589201151633981,2.6857816116266253,0.16754011499099786,2.8314613262768962
ligra,ligra_CF,1,1.07325,1.0755399999999999,1.0021337060330771,0.21337060330770541,1.7019199659616007,1.7025999659480007,1.6578499668430007,-0.00067999998640000392,-0.039954874494685377,0.04406999911859999,2.5894284102660481
ligra,ligra_Components,1,0.453374,0.453293,0.99982133955630448,-0.017866044369552192,3.0712000000000002,2.9865998805360046,2.8925898842964046,0.084600119463995593,2.7546274897107148,0.17861011570359553,5.8156458616695605
ligra,ligra_Components-Shortcut,1,0.467553,0.46697699999999998,0.99876805410295721,-0.12319458970427855,1.107749966767501,1.0662899680113009,0.99821997005340091,0.0414599987562001,3.7427217332430707,0.10952999671410013,9.8876100203114436
ligra,ligra_PageRank,3,0.63590669543550415,0.63665692376792771,1.0011797773758455,0.11797773758455143,21.964179453078017,21.974366228221744,21.655459566530677,-0.010186775143726123,-0.046379038040034182,0.30871988654734039,1.405560754986801
ligra,ligra_PageRankDelta,3,0.65752475299791113,0.65990288882329373,1.0036168004543402,0.36168004543402077,3.2987766355523678,3.252943300392968,3.2461499671999685,0.045833335159399802,1.3894040192183321,0.052626668352399264,1.5953389442988852
ligra,ligra_Radii,3,0.27653301539743219,0.2765424166317641,1.0000339967881173,0.0033996788117329757,8.2965032656313671,8.302409616988351,8.2052729535264515,-0.0059063513569839188,-0.071190851951463685,0.091230312104915612,1.0996236508800217
qmm,qmm_fp,3,0.6410335245373685,0.64226729268257787,1.0019246546365881,0.19246546365880857,1.2118733181176335,1.3249733098720005,0.918706650787667,-0.11309999175436691,-9.3326579654416051,0.29316666732996655,24.191197458273408
qmm,qmm_int,8,0.47772844287941491,0.47827910126732448,1.0011526598345089,0.11526598345088512,6.0517399162620897,6.1163886564070769,5.9163899115831269,-0.064648740144987116,-1.0682669949391599,0.13535000467896285,2.236546952641727
qmm,qmm_srv,19,1.7166833030732682,1.7167833725872605,1.0000582923558543,0.0058292355854305811,1.8729689044676279,1.872628379836196,1.8723983798419699,0.00034052463143185996,0.018181008270856669,0.00057052462565798656,0.030460976917290328
parsec,parsec_canneal,6,0.40261850321546799,0.40260633139782015,0.99996976835999685,-0.0030231640003153259,6.561756513673104,6.5652531802602878,6.5578348471038046,-0.0034966665871838387,-0.053288575702215013,0.0039216665692993757,0.059765499697028712
xsbench,xsbench_XL100hash,2,0.33428706094014465,0.33412981219879201,0.99952959967726407,-0.047040032273593102,4.5954398982848028,4.6029948979915023,4.5866298985875025,-0.0075549997066994834,-0.16440210021066992,0.0088099996973003414,0.19171178151168311
xsbench,xsbench_XL100nuclide,4,0.15494769682355219,0.15495619254153381,1.0000548295854392,0.005482958543923111,36.648432317138429,36.649624908788901,36.644282408802177,-0.0011925916504722522,-0.0032541409688446876,0.0041499083362523947,0.011323563039045137
xsbench,xsbench_XL100unionized,1,0.51622000000000001,0.51586399999999999,0.99931037154701474,-0.06896284529852581,0.98019997059400088,0.99463997016080086,0.9677599709672009,-0.014439999566799977,-1.4731687410732386,0.01243999962679998,1.2691287492348491
xsbench,xsbench_XL64hash,2,0.30047075097752857,0.30049998767054881,1.0000973029585247,0.0097302958524725369,5.4679499043484521,5.4734249315563011,5.4565349318669512,-0.0054750272078489814,-0.10012943248611794,0.011414972481500918,0.20876146784781779
xsbench,xsbench_XL64nuclide,1,0.15510699999999997,0.155024,0.99946488553063373,-0.053511446936627127,36.690659266186813,36.691760000000002,36.68647,-0.001100733813188981,-0.003000038252798376,0.0041892661868132564,0.011417800253799015
xsbench,xsbench_XL64unionized,1,0.51587499999999997,0.51590199999999997,1.0000523382602375,0.0052338260237538847,0.97994999999999999,0.99447999005520005,0.96766999032330014,-0.014529990055200059,-1.4827276958212288,0.012280009676699843,1.2531261469156396
