trace_tag,dataset,workload,discard_stlb_data_demand_mpki,useful_vs_discard_miss_pct,demand_miss_reduction_pct,cross_pq_drop_rate_pct,trigger_page_walk_pct_of_requested,too_early_among_useless_pct,combined_local_pollution_candidates_per_fill_pct,high_need_low_coverage_score
xs.XL64nuclide-355B,xsbench,xsbench_XL64nuclide,36.70003,0.0007356942215033612,0.02550406634544985,22.3385,0.5905924976347239,8.29975825946817,63.69100229803782,0.6828895010713193
xs.XXL100nuclide-324B,xsbench,xsbench_XXL100nuclide,38.524449614755504,0.0012459619799893315,0.022660933511055966,24.1907,0.60716200502719,6.985871271585557,56.64359861591696,0.6734006734006733
pr.kron-90B,gap,pr,167.9688,0.11680740708988813,0.1170634070136835,24.573999999999998,2.4091744135372197,1.7085813015933962,62.50195675022921,0.6729925517804305
sssp.urand-4669B,gap,sssp,73.49607632519619,0.10550222542481176,0.10340687557758182,37.7491,2.9267814582724005,0.9463172125070864,42.92732440113682,0.6719722477298234
sssp.twitter-792B,gap,sssp,60.649619393503805,0.08850838636746611,0.13258120990700353,78.3511,0.06853343922728744,4.735812133072407,56.79949111727021,0.6599326599326599
sssp.urand-4819B,gap,sssp,72.43752927562471,0.10696112912740123,0.10420012940805684,36.437799999999996,2.8752225184876257,0.630715862503942,37.000569053818694,0.6554433221099887
xs.XXL64nuclide-566B,xsbench,xsbench_XXL64nuclide,38.41049923179001,0.0010674164616446024,0.022832298460056494,22.756899999999998,0.6008553352419326,7.438934122871947,59.12982701380395,0.6538108356290174
pr.twitter-833B,gap,pr,157.2066884279331,0.1318709782643474,0.13143206564555235,23.8814,2.8897923305131306,8.811777076761304,78.78380934367316,0.6464646464646465
sssp.kron-246B,gap,sssp,74.70222701191092,0.11252676124929603,0.10760053615534637,71.03,1.2100280545046833,1.6022931902539415,46.59137000405604,0.642791551882461
xs.XL100nuclide-577B,xsbench,xsbench_XL100nuclide,36.671,0.0009544326579586049,0.025224291674620272,22.054399999999998,0.5759009592947887,8.545034642032332,60.99228611500701,0.6383022140597898
xs.XL100nuclide-296B,xsbench,xsbench_XL100nuclide,36.76091,0.0014689516663216444,0.02540742326563733,21.9467,0.6051495902632983,8.627946127946128,62.015775635407536,0.6302418120599939
xs.XL100nuclide-185B,xsbench,xsbench_XL100nuclide,36.4921396350786,0.0010139169695172715,0.024525829397782646,22.872600000000002,0.6175287327103818,6.562726613488035,62.76469591733017,0.6220793796551373
pr.twitter-3197B,gap,pr,144.07045855929542,0.14545660505283317,0.14460979717840838,20.3645,2.7097215376892123,13.257098556061633,79.82788798133022,0.6203448627691052
pr.twitter-168B,gap,pr,139.15916860840832,0.1453156123308295,0.14428801206560804,21.0382,2.290973440936644,9.932152280437242,81.26393626955843,0.6167737985919804
xs.XL100nuclide-829B,xsbench,xsbench_XL100nuclide,36.7065,0.001525615354228815,0.025145410213449935,22.2649,0.618459557920861,9.274725274725276,62.3069936421435,0.6142230384654628
bc.twitter-876B,gap,bc,66.42048867159022,0.1140160212609091,0.07401330523156333,68.8402,5.88051797778399,6.889547025097771,38.79817583476268,0.6054484236302419
pr.twitter-2741B,gap,pr,141.99962574001123,0.14736658116644388,0.14635249401706188,19.8673,2.530327186067423,12.07710843373494,79.76648656650137,0.6042240587695134
bfs.urand-118B,gap,bfs,42.99139,0.16366067717280133,0.3060380229622722,81.2081,0.10081585775268379,0.3439686869884948,42.42705570291777,0.5250484644424038
bfs.urand-356B,gap,bfs,41.848687907565605,0.16588332872546308,0.3137015758438317,77.15220000000001,0.09792026191091238,0.26145418326693226,42.5579334604334,0.5041322314049587
sssp.twitter-900B,gap,sssp,64.06756,0.24538159405477594,0.21906562385082248,85.5147,0.4359011793054683,16.608742473934115,54.20647700840937,0.49433731251913066
tc.urand-825B,gap,tc,38.90302844387886,0.41986446814039935,0.41531469399684295,16.45,1.758685635344894,4.707379134860051,36.98720052510666,0.3917967554331191
bc.urand-3004B,gap,bc,10.815549783689004,0.02292994808400867,0.023484704892492752,5.317410000000001,0.1276098671875767,0.0,37.68939393939394,0.3902662993572084
